"_id","id_org","ord","phone","owner","owner_fio"
"145042","8173","1","53607","",""
"145043","8008","1","52205","",""
"145044","8137","1","54024,54881","",""
"145045","8159","1","54601","",""
"145046","8250","1","52264","",""
"145047","8157","1","51437,89284961245","",""
"145048","8251","1","52067","",""
"145049","8160","1","52172","",""
"145050","8255","1","51562","",""
"145051","8249","1","52103,51996","",""
"145052","8252","1","54138","",""
"145053","8246","1","52056","",""
"145054","8253","1","53889","",""
"145057","8155","1","52226,53022,53756,54225","",""
"145065","8176","1","57722","",""
"145066","8215","1","52265","",""
"145067","3579","1","52770,56312,57859","",""
"145068","8220","1","54429","",""
"145070","8219","1","52533","",""
"145071","3606","1","54272,52345","редактор",""
"145073","8116","1","55779,52152","директор",""
"145074","3574","1","53515","",""
"145075","8184","1","52901","",""
"145080","3577","1","52730","директор",""
"145081","3577","2","53736","гл. бухгалтер",""
"145083","8268","1","55308","",""
"145084","8269","1","54312","",""
"145085","8270","1","54166","",""
"145086","8262","1","52782,54782","",""
"145087","8263","1","53401,54401","",""
"145088","8264","1","53789","",""
"145089","8265","1","53789","",""
"145090","8266","1","52650","",""
"145091","8267","1","52450,52490","",""
"145109","8669","1","52471","председатель",""
"145590","8139","1","51582","",""
"145608","8223","1","53261","",""
"147242","8185","1","55845","диспетчер",""
"147243","8183","1","52041,52804","директор",""
"147336","8151","1","54269,53705","",""
"147337","8152","1","54005","",""
"147965","8214","1","53255","",""
"148965","8161","1","51539,51541","управляющий",""
"150318","8166","1","54535","",""
"150760","8273","1","56174","",""
"151720","8147","1","54065","глава",""
"151721","8147","2","57700","секретарь",""
"151722","8147","3","55756","заместитель",""
"151724","8129","1","56300","председатель",""
"151725","8129","2","53391","заместитель по внешней политике",""
"151726","8129","3","52460","заместитель по законодательству",""
"151727","8129","4","53380","председатель комитета по бюджету",""
"151728","8129","5","55857","председатель комитета по экономической политике",""
"151729","8129","6","55166","председатель комитета по культуре",""
"151730","8129","7","52200","председатель по соц. политике",""
"151731","8192","1","56588,56956,52342","",""
"151732","8191","1","53491","председатель",""
"151733","8191","2","53614","приемная",""
"151734","8191","3","53612","заместитель",""
"151735","8191","4","53202","секретарь",""
"151736","8125","1","52283","глава АМС",""
"151737","8125","2","52917","приемная",""
"151738","8125","3","52917,52292,52402","заместитель",""
"151739","8127","1","89280651882","глава АМС",""
"151740","8127","2","89284859727","заместитель",""
"151741","8660","1","89284950499,899174534","глава АМС",""
"151742","8660","2","899483076","заместитель",""
"151743","8661","1","899227304","глава АМС",""
"151744","8256","1","51246","глава АМС",""
"151745","8126","1","52732","глава АМС",""
"151746","8126","2","53592,54217","заместитель",""
"151747","8126","3","52160","начальник РУВД",""
"151748","8126","4","53801","заместитель",""
"151749","8126","5","52164","дежурный",""
"151750","8128","1","54817","начальник",""
"151751","8140","1","55031","председатель",""
"151752","8197","1","54763","председатель",""
"151753","8197","2","55052","заместитель",""
"151754","8261","1","52753","",""
"151755","8141","1","53742","председатель",""
"151756","8196","1","53750","",""
"151757","8194","1","53998,54121","председатель",""
"151758","8112","1","52209","",""
"151759","8222","1","52145","председатель",""
"151760","8222","2","56875,54239","заместитель",""
"151761","8200","1","53205","председатель",""
"151762","8224","1","54847","",""
"151763","8195","1","56567","",""
"151764","8653","1","52377","председатель",""
"151765","8653","2","52120","заместитель",""
"151766","8221","1","52913,56016","",""
"151767","8193","1","54002,54717","председатель",""
"151768","8259","1","56928","приемная",""
"151769","8259","2","53328","министр",""
"151770","8259","3","53312","заместитель",""
"151771","8259","4","52102","оперативный дежурный",""
"151772","8202","1","54654","приемная",""
"151773","8202","2","52680","заместитель",""
"151774","8206","1","52243","приемная",""
"151775","8206","2","53904","заместитель",""
"151776","8208","1","52143","министр",""
"151777","8208","2","54041","заместитель",""
"151778","8205","1","53481","приемная",""
"151779","8205","2","54483","заместитель",""
"151780","8205","3","53151","метод кабинет",""
"151781","8205","4","53151","отдел охраны памятников",""
"151782","8203","1","52471","приемная",""
"151783","8203","2","53341","заместитель",""
"151784","8203","3","52631","общий отдел",""
"151785","8210","1","51376","председатель",""
"151786","8210","2","51562","заместитель",""
"151787","8652","1","52537","приемная",""
"151788","8652","2","54558","министр",""
"151789","8652","3","54997","заместитель",""
"151790","8209","1","55908,51451","",""
"151791","8207","1","52652","приемная",""
"151792","8207","2","52132,53395","заместитель",""
"151793","8201","1","52686","приемная",""
"151794","8201","2","54123,54211","отделы",""
"151795","8204","1","52376","министр",""
"151796","8204","2","51395,51999","заместители",""
"151797","8233","1","52558,53323,54103","",""
"151798","8142","1","55497","",""
"151799","8248","1","52364,56714","",""
"151800","8134","1","53930","председатель",""
"151801","8134","2","51287","заместитель",""
"151802","8133","1","52116","канцелярия",""
"151803","8230","1","54937,55092","",""
"151804","8654","1","51130","",""
"151805","8158","1","55116","",""
"151806","8260","1","53417,53186","",""
"151807","8236","1","54187,56900","",""
"151808","8144","1","52249","председатель",""
"151809","8144","2","52536","общий отдел",""
"151810","8146","1","52577","председатель",""
"151811","8146","2","54813","бухгалтерия",""
"151812","8145","1","52444","",""
"151813","8143","1","54095","",""
"151814","8239","1","52561,53024","",""
"151815","8238","1","53402,53714","",""
"151816","8124","1","52302,53841,54101","",""
"158199","8227","1","55453","",""
"159173","8243","1","54329","",""
"163034","8117","1","899968069,89289530331","",""
"163183","8162","1","57819","",""
"163339","8119","1","53502,89280708161","",""
"163340","3572","1","51288","директор",""
"163342","8122","1","54108","директор",""
"163351","3570","1","52335","директор",""
"163352","3570","2","51257","гл. бухгалтер",""
"163353","3570","3","51340","гл. инженер",""
"163359","3571","1","52703","директор",""
"163360","3571","2","53704","заместитель",""
"163361","3571","3","54694","гл. бухгалтер",""
"163362","3571","4","53701","гл. инженер",""
"163372","8118","1","899978746","",""
"164677","4860","1","32579","председатель",""
"164688","1050","1","749575","",""
"164765","3342","1","575961","",""
"166619","4149","1","749583","",""
"166697","8874","1","747497","",""
"167016","3866","1","493608","директор",""
"167314","2218","1","532706","",""
"167677","5378","1","536372","",""
"167749","8938","1","773208","",""
"168233","38","1","523438","",""
"170041","8617","1","54125","",""
"170042","8616","1","50161","",""
"170160","7339","1","32313","",""
"171673","6020","1","42138","",""
"172023","2250","1","46264","",""
"172074","2750","1","31147","директор",""
"172236","2661","1","92131","",""
"172410","1293","1","32242","",""
"173290","7378","1","51607,51712","",""
"173551","7721","1","31265,31266,31267","",""
"173686","7213","1","32859","",""
"175087","6916","1","441144,441114","",""
"175649","3304","1","446644,496644","",""
"176524","1292","1","31764","директор, приемная",""
"177023","8970","1","21390","",""
"183235","2443","1","525555","",""
"183693","2806","1","36745","",""
"183956","8002","1","525980","",""
"184055","5870","1","532825","",""
"184433","3267","1","528847","начальник, приемная",""
"184434","3267","2","528203","заместитель",""
"184539","6763","1","766801","",""
"187144","9027","1","766583","",""
"187912","3598","1","54574","",""
"187915","8187","1","52974","",""
"187955","3600","1","52700","",""
"197492","2745","1","32368","директор",""
"199166","417","1","764574","",""
"199222","752","1","572010","",""
"199780","4333","1","32490","",""
"202662","7738","1","532999","",""
"202664","111","1","530662","",""
"202665","3835","1","537046","",""
"202670","8926","1","89288613587","",""
"202908","8749","1","611114","",""
"204165","4547","1","440399","военный комиссар",""
"204531","8257","1","54501","",""
"204544","8244","1","54329","",""
"206213","8132","1","51244","",""
"206214","8131","1","54738","",""
"206215","8228","1","53559","",""
"206332","10169","1","8787251203","",""
"206343","10179","1","8787737412","",""
"206346","10183","1","8787652656","",""
"206349","10186","1","8787322004","",""
"206409","8232","1","57654","",""
"206410","8235","1","53172","",""
"206587","10350","1","8662426821","",""
"206613","10207","1","8662911985","",""
"206617","10369","1","8663373003","",""
"206628","10377","1","8663142382,42869","",""
"206644","10389","1","8663241866,44036","",""
"206651","10393","1","8662404379","",""
"206669","10408","1","8663344297","",""
"206768","10473","1","8663321201,23800","",""
"206778","10481","1","8663241103,41203","",""
"206786","10463","1","8662423815","",""
"206788","10487","1","8662913230,919674","",""
"206893","10506","1","8662720636","",""
"206897","10156","1","8782922718,22325","",""
"206962","9989","1","8732227817","",""
"206964","9962","1","8712332162,332110","",""
"206967","10004","1","8712223490","",""
"206969","10114","1","8782253239,255288","",""
"206971","10116","1","8782200215,278432,206800","",""
"206972","10113","1","8782261214,264621","",""
"206978","10233","1","89280730130","",""
"207018","10235","1","8662425554,421682","",""
"207021","10299","1","8662771256,771918","",""
"207028","10014","1","8732222781,222605","",""
"207043","10451","1","8662730048,730379","",""
"207047","10458","1","8662425522","",""
"207115","9926","1","8787251334,51742","",""
"207177","10096","1","8712332138","",""
"207186","10020","1","8712332153","",""
"207599","10072","1","8787021860","",""
"207613","10007","1","8732226641","",""
"209751","9369","1","280371,280370","",""
"209839","6429","1","537621,530483","",""
"210299","5298","1","770886","",""
"210747","5093","1","533988","",""
"210748","5097","1","524668","",""
"210750","5094","1","768850,767879","",""
"210751","5090","1","517169,740366","",""
"210931","5203","1","31403","плановый отдел",""
"210932","5203","2","31440","бухгалтерия",""
"210933","7141","1","26044","приемная",""
"210934","7141","2","92359","котельная",""
"210940","2759","1","523379","",""
"210944","9012","1","548351","",""
"210947","4202","1","407602","",""
"210948","9397","1","89187033310","",""
"210952","7746","1","525980","",""
"210955","4158","1","35223","",""
"210984","1441","1","31155","",""
"210992","9248","1","24232","",""
"210996","3752","1","649747","директор",""
"210997","3752","2","649757","бухгалтерия",""
"210998","2782","1","21041","директор",""
"211004","9407","1","537058","",""
"211013","119","1","443535,89286887796","",""
"211024","1019","1","753112","",""
"211028","1726","1","761614","директор",""
"211029","1726","2","761610","бухгалтерия",""
"211030","8914","1","441478","",""
"211037","4486","1","46133,46140","",""
"211038","160","1","442020","",""
"211039","2428","1","33609","",""
"211042","6146","1","32729","",""
"211046","1650","1","542002","",""
"211063","4400","1","91917","",""
"211064","5169","1","90047","",""
"211066","8596","1","94347","приемная",""
"211067","8596","2","94334","участковый",""
"211076","7286","1","23895","",""
"211089","8640","1","4955176095,89031221129","",""
"211092","6512","1","528788","",""
"211094","8569","1","31325,31677","",""
"211095","7358","1","30023","",""
"211098","9003","1","512194,745068","",""
"211102","2603","1","91917","",""
"211106","2778","1","51973","",""
"211107","4446","1","50331","",""
"211108","7925","1","751375","",""
"211113","4332","1","31045","",""
"211114","4480","1","57130","",""
"211115","2704","1","96123,96124","",""
"211116","1612","1","757243","",""
"211118","6808","1","757813","консультант",""
"211119","6808","2","758097","ведущий специалист",""
"211122","5938","1","24015","",""
"211134","7887","1","24440","",""
"211135","5795","1","42323","",""
"211137","8627","1","777976","",""
"211138","682","1","776686","",""
"211139","2409","1","24774","",""
"211143","6213","1","32760","",""
"211147","6509","1","749940","",""
"211149","3113","1","532850","",""
"211153","4075","1","31423","",""
"211158","6451","1","747256,746801","",""
"211159","7196","1","31424","",""
"211160","5037","1","31600","",""
"211170","2717","1","91942","",""
"211171","1217","1","524918","",""
"211172","4979","1","51412","",""
"211173","4440","1","39138","",""
"211174","2144","1","23269","",""
"211183","4491","1","30328","",""
"211186","760","1","757188","",""
"211190","301","1","539367","",""
"211194","2931","1","755956","",""
"211197","6249","1","42142","",""
"211199","1177","1","45895","",""
"211204","6455","1","532128","",""
"211206","8027","1","531351","",""
"211212","142","1","535697","",""
"211213","6230","1","58352","",""
"211221","496","1","747843","председатель",""
"211222","496","2","747873","заместитель",""
"211226","5539","1","51737","",""
"211227","4173","1","762715","",""
"211230","959","1","552138","",""
"211231","2476","1","727515","",""
"211232","4403","1","92065","",""
"211234","8289","1","24616","",""
"211235","799","1","764366","начальник",""
"211236","799","2","762750","гл. инженер",""
"211237","799","3","766869","гл. бухгалтер",""
"211238","799","4","764179","ПТО",""
"211239","4407","1","92090","",""
"211240","3881","1","550691","",""
"211244","6244","1","45123","",""
"211245","6397","1","545110","",""
"211246","338","1","538023","",""
"211247","6192","1","750104","",""
"211248","1331","1","749968","",""
"211255","643","1","549499","",""
"211259","2710","1","56621","",""
"211264","2694","1","96141,96175","",""
"211265","2657","1","42184,42113","",""
"211266","8392","1","34148","",""
"211273","6290","1","23460","",""
"211274","7445","1","752756","",""
"211280","4230","1","30697","",""
"211284","6445","1","756525","",""
"211288","6171","1","30858","",""
"211290","170","1","740221","",""
"212540","9485","1","402729","",""
"213019","7491","1","777777","",""
"213079","81","1","757766","",""
"213285","6928","1","514389,505106","",""
"213576","5915","1","776970","зам.начальника",""
"213578","5904","1","747057","оператор",""
"213579","5904","2","747810","начальник",""
"213580","5906","1","758664","",""
"213596","3512","1","576812,572167","директор, приемная",""
"213597","3512","2","778126","администрация",""
"214142","4511","1","446840","",""
"214238","7504","1","535414","",""
"214239","721","1","537776","",""
"214353","137","1","740164","",""
"214363","1554","1","749848","",""
"214457","5210","1","770850","",""
"214700","967","1","777216","",""
"214850","3059","1","581111","телефон доверия",""
"214992","5014","1","500014","",""
"215166","7861","1","745494","",""
"215267","10922","1","762896","",""
"215403","3166","1","764414","",""
"215576","7696","1","757341","диспетчер",""
"215577","7696","2","758059","начальник",""
"215578","7696","3","551457","гл.бухгалтер",""
"215587","2807","1","751009,758882","",""
"216110","3953","1","756587","",""
"216502","1466","1","534284","",""
"216530","455","1","772390","",""
"216587","273","1","766249","",""
"216733","9777","1","89188264900","",""
"216742","3988","1","538400","",""
"217237","10937","1","89187017196","",""
"217238","10938","1","89187017196","",""
"217242","10939","1","89187017196","",""
"217244","10940","1","89187017196","",""
"217245","10941","1","89187017196","",""
"218371","8577","1","757712,251492,953206","",""
"218920","11055","1","953323,89188253323","",""
"219081","10583","1","550818","",""
"219115","2800","1","524869","директор",""
"219116","2800","2","524857","бухгалтерия",""
"219129","9208","1","250550,250401","секретарь",""
"219130","9208","2","251771","операционный отдел",""
"219183","1669","1","758500","",""
"219204","7433","1","943404,254457","",""
"219317","6186","1","753367","",""
"220870","1062","1","535127","",""
"220927","8075","1","760230,89627497409","",""
"221020","4713","1","543481","",""
"221184","3155","1","531009","",""
"221214","6497","1","540738,540528,540528","",""
"221234","2174","1","543358","",""
"221342","5606","1","530537","",""
"221392","1118","1","540193","",""
"221502","6549","1","542161","",""
"221563","10286","1","89287058449","",""
"221699","4211","1","32590","заместитель",""
"221700","4211","2","22332","бухгалтерия",""
"221701","4211","3","32640","отдел сбыта",""
"221769","906","1","20683","",""
"221790","7843","1","32870","",""
"221809","915","1","22304","",""
"221813","6318","1","22269","",""
"221832","6578","1","31017","",""
"221865","9484","1","34668,34666","",""
"221870","7645","1","32990","",""
"221887","7911","1","32944","",""
"221888","717","1","22351","",""
"221944","3961","1","22434","",""
"221951","2594","1","32511","директор",""
"221952","2594","2","32513","лаборатория",""
"221953","2594","3","32510","гл. бухгалтер","Хостикоева Белла"
"221964","6272","1","21506","",""
"221986","8296","1","34300","",""
"221995","1486","1","31658","",""
"222008","2773","1","30245","",""
"222091","7689","1","33303,33033","",""
"222093","11078","1","34141","",""
"222096","7729","1","31438","",""
"222099","3355","1","33780","дежурный",""
"222141","1239","1","30817","директор",""
"222142","1239","2","30819","бухгалтерия","Мистулова Людмила Алексеевна"
"222144","7334","1","34467","",""
"222147","6157","1","31646","",""
"222190","4978","1","33429","директор",""
"222191","4978","2","30416","секретарь",""
"222216","610","1","30640","аппаратная",""
"222217","610","2","30977","охрана",""
"222246","6142","1","31010","",""
"222256","2577","1","30391","директор",""
"222257","2577","2","32683","бухгалтерия",""
"222262","2639","1","30330","бухгалтерия",""
"222263","2639","2","30164","пекарня",""
"222275","7690","1","92855","",""
"222337","8064","1","89284979525,91141","",""
"222348","4405","1","92626","",""
"222351","4413","1","91556","",""
"222399","4428","1","35133","",""
"222401","7788","1","92929","",""
"222425","4415","1","90895,92092","",""
"222443","4389","1","92022","",""
"222478","4410","1","90631","",""
"222522","4334","1","32610","",""
"222524","5248","1","31188","",""
"222531","7514","1","31470","",""
"222550","4328","1","32506","",""
"222552","1558","1","31558","",""
"222577","4320","1","32403","",""
"222596","782","1","31273","",""
"222626","2618","1","31496","",""
"222627","4337","1","32500","",""
"222640","4477","1","52431","начальник",""
"222641","4477","2","52074","проходная",""
"222796","4474","1","52813,51191","",""
"222799","656","1","51660","гл.редактор",""
"222800","656","2","51684","заместитель",""
"222801","656","3","51673","корректорская",""
"222802","656","4","51676","отделы",""
"222803","656","5","51664","бухгалтерия",""
"222821","4461","1","54123","директор",""
"222822","4461","2","54121","бухгалтерия",""
"222823","4461","3","54146","экономический отдел",""
"222830","4442","1","52693,51674","",""
"222843","4161","1","53183","",""
"222878","4458","1","51004","",""
"222921","4445","1","51293","директор",""
"222922","4445","2","51644","бухгалтерия",""
"223025","3620","1","36656","",""
"223062","842","1","32029","",""
"223064","3624","1","36655,36633,33333","",""
"223070","1549","1","31206","диспетчер",""
"223071","1549","2","36851","начальник",""
"223072","1549","3","36852","заместитель",""
"223073","1549","4","31208","товарная касса",""
"223074","1549","5","36827","весовая",""
"223087","2596","1","47189,47188","директор",""
"223088","2596","2","46136","коммерческий директор",""
"223089","2596","3","47175","отдел сбыта",""
"223095","5241","1","32949","директор",""
"223096","5241","2","30604","бухгалтерия",""
"223127","4503","1","36782","",""
"223128","6234","1","52031","",""
"223213","1024","1","32206","",""
"223214","311","1","31135","дежурный",""
"223215","311","2","31154","начальник",""
"223216","311","3","31136","бухгалтер",""
"223223","7097","1","30501","",""
"223227","7316","1","56422","",""
"223232","3963","1","31546,35796","",""
"223277","8525","1","89280689696","",""
"223309","1318","1","31008","",""
"223313","5841","1","36769","",""
"223316","7704","1","31686","",""
"223318","7631","1","30000,34040","",""
"223348","6216","1","31295,31669","",""
"223383","477","1","37890","",""
"223415","9155","1","36743","",""
"223433","7772","1","31671","",""
"223442","6206","1","36867,31429","",""
"223523","4485","1","46076","директор",""
"223524","4485","2","46070","бухгалтерия",""
"223525","4485","3","46079","проходная",""
"223565","8083","1","32077","",""
"223566","2924","1","33420,33430,30070,37030,37755,37733,30743","",""
"223570","5584","1","55137","",""
"223573","71","1","51297,52606","",""
"223641","26","1","778911","",""
"223689","9451","1","44513","",""
"223785","835","1","730465","",""
"223797","2342","1","21190,21007","",""
"223885","1520","1","24257","администратор",""
"223886","1520","2","24664","директор",""
"223912","1175","1","24709","",""
"223954","6181","1","21237","",""
"224061","6256","1","41172","",""
"224064","9581","1","21935","",""
"224099","6238","1","21681","",""
"224113","2601","1","31391","директор",""
"224114","2601","2","31399","гл. бухгалтер","Галина Павловна"
"224115","2601","3","31383","проходная",""
"224147","6183","1","31102","",""
"224154","6095","1","31279","",""
"224523","3698","1","539952","",""
"224641","2334","1","533537","директор",""
"224642","2334","2","533456","заместитель",""
"224643","2334","3","536061","бухгалтерия",""
"224644","2334","4","532111","проходная",""
"225125","259","1","756495","",""
"225441","7888","1","33348","",""
"225459","7102","1","42123,42082","",""
"225493","9488","1","89284803418","",""
"225498","11098","1","34696","",""
"225501","5215","1","31953","",""
"225510","5709","1","33127","",""
"225535","2663","1","42368","начальник",""
"225536","2663","2","41907","гл. бухгалтер",""
"225647","2620","1","27554","директор",""
"225648","2620","2","27602","заместитель",""
"225649","2620","3","32827","бухгалтерия","Абаев Амин Григорьевич"
"225657","5219","1","33868","",""
"225659","5217","1","22800","",""
"225714","7634","1","36201","",""
"225729","7665","1","24219","",""
"225814","5554","1","31830,24763","",""
"225822","2461","1","22584","",""
"225843","7108","1","98122","директор",""
"225844","7108","2","98121","секретарь",""
"225845","7108","3","98134","бухгалтерия",""
"225903","2073","1","34884","директор",""
"225904","2073","2","34548","метод.кабинет",""
"225926","7483","1","520846","",""
"225968","11100","1","495311,89014975311","",""
"226009","2386","1","33160","",""
"226010","8272","1","53103","",""
"226040","11104","1","89604026098","",""
"226458","2208","1","743405","директор",""
"226459","2208","2","740270","вахта",""
"226462","2074","1","755568","",""
"226561","4336","1","31313","",""
"226618","6505","1","531449","",""
"226641","6813","1","548296","",""
"226709","206","1","539154","",""
"226720","4452","1","52782","",""
"226942","622","1","758362","",""
"227055","7129","1","33187,31141","",""
"227131","11119","1","33061","",""
"227231","1536","1","33669,22277","",""
"227237","4340","1","32200","",""
"227311","8582","1","89631777877","",""
"227318","7361","1","514128","",""
"227422","5879","1","746068","",""
"227450","6154","1","33535,33536","",""
"227468","5796","1","45267","",""
"227469","4327","1","31572","",""
"227471","2351","1","537687","",""
"227479","7132","1","25004","",""
"227480","5605","1","757722","",""
"227520","7865","1","24477","",""
"228021","1770","1","33912","",""
"228028","2702","1","56045","председатель",""
"228029","2702","2","56136","бухгалтерия",""
"228030","2702","3","56066","плановый отдел",""
"228031","2702","4","56016","молочный цех",""
"228071","9071","1","31255","",""
"228512","460","1","757367","",""
"228693","9879","1","251929","",""
"228950","3411","1","537999","",""
"229224","7824","1","89188243074","",""
"229297","3188","1","755695,754514","",""
"229358","80","1","521574","",""
"229388","10872","1","89094778857","",""
"229409","8788","1","89888354461","",""
"229463","10932","1","89014978388","",""
"229483","7845","1","34150","",""
"229544","9594","1","89280663309","",""
"230021","890","1","532074","",""
"230052","9307","1","511130","",""
"230103","6962","1","533051","",""
"230224","177","1","778158","",""
"230411","6281","1","524767","",""
"230448","9029","1","758220","",""
"230537","10612","1","89188358690","",""
"230607","9472","1","936796","",""
"230609","186","1","544511","",""
"230610","7844","1","32148","",""
"230611","4288","1","749933","",""
"230613","3047","1","537994","",""
"230615","8876","1","649527","",""
"230621","7417","1","544445","",""
"230625","926","1","770233","",""
"230628","8378","1","537617","",""
"230629","9552","1","443996","",""
"230637","9524","1","89624101214","",""
"230653","795","1","744367","приемная",""
"230654","795","2","744495","начальник",""
"230655","795","3","744381","бухгалтерия",""
"230659","803","1","740414","приемная",""
"230660","803","2","743542","директор",""
"230661","803","3","741153","бухгалтерия",""
"230664","7432","1","544436","",""
"230667","5188","1","34371","начальник",""
"230668","5188","2","31001","бухгалтерия",""
"230682","5287","1","30679","",""
"230694","7391","1","769107","",""
"230698","7150","1","768010","",""
"230705","3164","1","746883","",""
"230713","6414","1","548364","",""
"230714","989","1","560356","",""
"230715","5943","1","92780","",""
"230724","2508","1","753788","кафе, сауна",""
"230726","4233","1","775190","",""
"230727","8308","1","531645","",""
"230738","5997","1","95149","",""
"230740","5483","1","92149","",""
"230743","8488","1","750730","",""
"230776","7175","1","536539","",""
"231841","7083","1","535356","",""
"231860","10677","1","528322","",""
"231984","2357","1","545404","директор",""
"231985","2357","2","530449","бухгалтерия",""
"231986","2357","3","532773","касса, вахта",""
"231987","9768","1","446499","",""
"232246","9550","1","89283787928","",""
"232422","9441","1","89054887278","",""
"232465","8636","1","89280702470","",""
"232550","8638","1","768171,746286","коммерческий директор",""
"232551","8638","2","761413","бухгалтер",""
"232599","10748","1","529863,964800,89188264800","",""
"232603","1479","1","741447","директор",""
"232604","1479","2","749907","автомагазин",""
"232650","1492","1","764090","",""
"232668","9681","1","537426","",""
"232670","6162","1","32747","",""
"232747","7032","1","522706","",""
"232751","8768","1","537805","",""
"232770","11180","1","89188326333","",""
"232776","9866","1","89289306507","",""
"232793","4295","1","442006","",""
"232799","10851","1","89284839608","",""
"232803","8316","1","539513","",""
"232871","9686","1","89289328767","",""
"232940","8650","1","89280650001","",""
"233006","2418","1","546543","",""
"233029","1428","1","533703","",""
"233045","254","1","778467","",""
"233060","10770","1","915816,89188215816","",""
"233202","11174","1","743470","",""
"233373","8332","1","576023","",""
"233376","5787","1","31288","",""
"233392","9121","1","533434","",""
"233434","1163","1","544796","",""
"233441","10819","1","579245","",""
"233469","10652","1","89194283066","",""
"233489","8707","1","544435","",""
"233527","6909","1","532546","",""
"233560","9202","1","640064,641122","",""
"233684","8868","1","548240","",""
"233685","11281","1","444452","",""
"233689","9675","1","548123","",""
"233710","6605","1","441368","",""
"233763","7553","1","752565","",""
"233776","8882","1","563046","",""
"233835","6907","1","972573","",""
"233844","7508","1","537473","",""
"233899","8983","1","542304","",""
"233910","1630","1","532059","",""
"233916","3391","1","744110","",""
"233959","6923","1","451205","",""
"233986","8517","1","766295","",""
"234067","9676","1","990112","",""
"234075","7085","1","755035","",""
"234150","9099","1","755511","",""
"234161","6781","1","543421","",""
"234256","1138","1","742139","",""
"234314","3778","1","539736","",""
"234376","9822","1","405154,89187095826","",""
"234381","7650","1","491142","",""
"234417","9170","1","30435","",""
"234446","10703","1","402796","",""
"234476","5043","1","541887","директор",""
"234477","5043","2","548187","гл.инженер",""
"234478","5043","3","531518","бухгалтерия",""
"234512","9602","1","536962","",""
"234573","3879","1","547970","",""
"234595","10814","1","766732","",""
"234694","7958","1","756295,752024","",""
"234787","10722","1","935349,89188235349","",""
"234821","4179","1","751509","",""
"234859","772","1","777293","",""
"234895","3711","1","516545","",""
"235044","11347","1","751756","",""
"235212","11373","1","89188220653,89280686691","",""
"235220","986","1","776235","",""
"235249","5294","1","22571","",""
"235531","10061","1","8782275003","",""
"235539","9986","1","8782255362","",""
"235554","10513","1","8662423869","",""
"235555","10155","1","8782212163","",""
"235558","9934","1","8732225404","",""
"235559","9932","1","8734624333","",""
"235634","10461","1","8662427222","",""
"235636","10274","1","8662442662","",""
"235637","10260","1","8662742078,741643","",""
"235649","9987","1","8782272963","",""
"235651","10331","1","8662962525","",""
"235652","9930","1","8782251475","",""
"235670","10226","1","8662443006","",""
"235673","10192","1","8662425837","",""
"235684","10409","1","8663321205,21255","",""
