_id,parent_id,name,address_index,address,time,email,www,checking,favorite,editions,orders,tags,description
253,0,EXCLUSIVE бутик,362040,"просп. Мира, 37",11.00-19.00; без пер. ; вых. Вс.,,,5,0,67,,,
255,0,РАНДЕВУ магазин,362027,"ул. Маркуса, 41",11.00-18.00,,,5,0,67,,,
265,0,НИВА готовая кухня-пекарня,362020,"ул. Калоева, 394",8.00-21.00,,,5,0,67,,,
267,0,РУСЛАН магазин,362045,"ул. Ген.Дзусова, 24/2","8.00-23.00; без пер. , вых.",,,5,0,67,,,
274,0,СТРОЙОПТТОРГ магазин,362013,"ул. Тельмана, 72/ул. Черноморская","9.00-17.00; без пер. ; вых. Сб., Вс.",,,7,0,71,,,
275,0,БЕЛОРУССКИЙ ТРИКОТАЖ,362003,"ул. Б.Ватаева, 58",11.00-18.00; без пер. ; вых. Вс.,,,5,0,67,,,
276,0,ЖАР-ПТИЦА магазин,362045,"ул. Ген.Дзусова, 22 а","9.00-22.00; без пер. , вых.",,,5,0,67,,,
282,0,ПАРУС магазин,362039,"просп. Ген.Доватора, 254/1","9.00-23.00; без пер. , вых.",,,5,0,67,,,
292,0,ГРИКОН технико-коммерческий центр,362035,"Архонское шоссе, 3",9.00-17.00; без пер. ; Сб. 9.00-15.00; вых. Вс.,,,5,0,67,,,
646,0,ИНТЕРШАРМ салон красоты,362035,"ул. Баллаева, 32","9.00-20.00; без пер. , вых.; Вс. 9.00-18.00",,,5,0,83,,,
711,0,АМОНД магазин,362015,"просп. Коста, 40","10.00-19.00; без пер. , вых.",,,5,0,67,,,
713,0,ОХРАННЫЕ СИСТЕМЫ,362040,"ул. Островского, 39","9.00-18.00; вых. Сб., Вс.",251313@mail.ru ,,5,0,71,,,
715,0,В.ЛАЗАРОВ,362043,"ул. А.Кесаева, 7",8.30-18.00; Вс. 9.00-15.00,,,7,0,71,,,
731,0,ТАЙИС строймаркет,362013,"ул. Пожарского, 36",9.00-17.00; без пер. ; Сб. 9.00-16.00; вых. Вс.,,,7,0,71,,,
746,0,НОВОПРИМ,362035,"ул. Калинина, 2 а","9.00-18.00; без пер. ; вых. Сб., Вс.",,,5,0,71,,,
805,0,ФОРВАРД-С,362045,ул. Тельмана (р-н очистных сооружений),"8.00-17.00; вых. Сб., Вс.",,,5,0,71,,,
806,0,ХДМ,362002,"пер. Партизанский, 2",9.00-18.00; вых. Вс.,,,5,0,71,,,
809,0,САНТЕХКОМПЛЕКТ магазин,362002,"ул. О.Кошевого, 83",8.00-17.00; Сб. 8.00-14.00; вых. Вс.,,,5,0,71,,,
811,0,PIMAPEN,362007,"ул. Коблова, 1, 3 этаж",9.00-18.00; без пер. ; вых. Вс.,,,5,0,71,,,
820,0,АРТЕЛЬ филиал,,"г.Ардон, ул. Пролетарская, 38","9.00-19.00; без пер. , вых.",,,5,0,71,,,
823,0,РОКОС группа компаний,362031,"ул. Защитников Осетии, 1",8.00-17.00; пер.  13.00-14.00; вых. Вс.,,www.rokos.ru,6,0,71,,,
825,0,МАГАЗИН №10,362025,"ул. Пушкинская, 43, р-к =Привоз=","9.00-17.00; без пер. ; Сб., Вс. 9.00-15.00",,,5,0,71,,,
826,0,МАМИСОН окна и двери,362043,"ул. Ген.Дзусова, 16/1",9.00-17.00; без пер. ; Сб. 9.00-14.00; вых. Вс.,,,5,0,71,,,
843,0,ПРОГРЕСС-1,362002,"ул. Ставропольская, 5",8.00-16.00,,,7,0,71,,,
860,0,НАШ ДОМ,362021,"ул. Тельмана, 10","9.00-22.00; без пер. , вых.",,,5,0,67,,,
861,0,АРБАТ магазин,362027,"ул. Маркуса, 8","11.00-19.00; без пер. , вых.",,,5,0,67,,,
862,0,АВТО ДОМ,362021,"ул. Иристонская, 16 б",8.30-19.00,,,5,0,99,,,
863,0,АВТОСТАНДАРТ,362027,"Карцинское шоссе, 9",9.00-17.00; без пер. ; Сб. 9.00-15.00; вых. Вс.,,,5,0,67,,,
865,0,АВТО-АC ТД,362035,"Архонское шоссе, 1",9.00-18.00,,,5,0,99,,,
870,0,ВЛАДИКАВКАЗ-ЛАДА ИМ.АКОЕВА В.М.,362008,"ул. Гадиева, 81",9.00-18.00; вых. Вс.,vladlada1@gmail.com,www.vladlada.ru,5,0,99,,,
872,0,LEXUS магазин,362031,"просп. Коста, 288/4",10.00-18.00; без пер. ; вых. Вс.,lexus-auto@list.ru,,5,0,99,,,
877,0,SELA,362027,"ул. Тамаева, 35","10.00-20.00; без пер. , вых.",,,5,0,67,,,
878,0,МАСЛА И СМАЗКИ,362013,"ул. Пожарского, 47 а",8.30-17.00; Сб. 8.30-14.00; вых. Вс.,766581@mail.ru,,5,0,99,,,
880,0,DEEP PURPLE,362040,"ул. Куйбышева, 22","11.00-21.00; без пер. , вых.",,,5,0,67,,,
881,0,MASCOTTE,362040,"ул. Джанаева, 37","11.00-19.00; без пер. , вых.",,www.mascotte.ru,5,0,67,,,
882,0,АРКТИКА торговый центр,362015,"просп. Коста, 15","10.00-20.00; без пер. , вых.",tk-arktika@mail.ru,www.tkarktika.ru,5,0,71,,,
883,0,"КОЛГОТКИ, БЕЛЬЕ",362025,"ул. Куйбышева, 48","10.00-20.00; без пер. , вых.",,,5,0,67,,,
885,0,ПАРИКМАХЕРСКАЯ,362040,"ул. Революции, 54","10.00-19.00; без пер. , вых.",,,5,0,83,,,
888,0,МАТЕРИК центр видеотехники,362040,"просп. Мира, 44","10.00-19.00; без пер. , вых.",,,5,0,67,,,
895,0,ЭЛЕКТРОН,362025,"ул. Фрунзе, 31",10.00-18.30; без пер. ; Сб. 10.00-17.00; вых. Вс.,,,5,0,87,,,
896,0,МИР ЭЛЕКТРОНИКИ,362040,"ул. Бутырина, 14","10.00-19.00; без пер. , вых.",,www.mir-electroniki.ru,6,0,71,,,
900,0,АЛЬКОР,362013,,"9.00-21.00; без пер. , вых.",vladik-alkor@yandex.ru,,5,0,71,,,
905,0,ШВЕЙНАЯ ФУРНИТУРА,362040,"ул. Джанаева, 29",10.00-19.00; без пер. ; вых. Вс.,,,5,0,67,,,
910,0,ГУРМАН супермаркет,362027,"ул. Маркуса, 6","10.00-22.00; без пер. , вых.",,,6,0,67,,,
917,0,МОСКОВСКИЙ ЮВЕЛИРНЫЙ ЗАВОД (МЮЗ),362020,"просп. Коста, 234","10.00-20.00; без пер. , вых.",,,5,0,67,,,
928,0,SAVAGE,362027,"ул. Маркуса, 6","11.00-19.00; без пер. , вых.",,,5,0,67,,,
938,0,ЮБИЛЕЙНЫЙ магазин,362040,"ул. Куйбышева, 5",9.00-21.00,,,5,0,67,,,
946,0,ПЛАНТАЦИЯ ЧАЙ КОФЕ,362040,"ул. Джанаева, 34",9.00-20.00,tkkt@list.ru,www.plantaciya-tea.ru,6,0,67,,,
962,0,ДЖУНГЛИ,362008,"просп. Коста, 82","9.00-22.00; без пер. , вых.",,,5,0,67,,,
965,0,БАРБОСИК,362003,"ул. Барбашова, 33","9.00-19.00; без пер. , вых.",,,5,0,67,,,
968,0,ВЕТЕРАН магазин,362031,"просп. Коста, 290","8.00-21.00; без пер. , вых.",,,6,0,67,,,
969,0,БЕНИЛЮКС,362031,"просп. Коста, 282/1","10.00-19.30; без пер. , вых.; Вс. 10.00-18.00",,,5,0,83,,,
970,0,"ЧАЙКА, магазин №159",362035,"ул. Калинина, 4",9.00-19.00; без пер. ; Вс. 9.00-18.00,,,6,0,71,,,
972,0,ЗАКАРПАТЬЕ торговый дом,362043,"ул. А.Кесаева, 33","8.00-22.00; без пер. , вых.",,,5,0,83,,,
975,0,МИНИМАРКЕТ НА КУРСКОЙ,,"ул. О.Кошевого, 41","8.00-21.00; без пер. , вых.",,,5,0,71,,,
981,0,МЕРИДИАН магазин,,"ул. Владикавказская, 17","8.00-21.00; без пер. , вых.",,,5,0,67,,,
983,0,ПРОДУКТЫ магазин,362027,"ул. Маркуса, 59","8.00-20.00; без пер. , вых.",,,5,0,67,,,
990,0,МАГАЗИН №200,362039,"ул. Московская, 45/1","9.00-21.00; без пер. , вых.",,,5,0,67,,,
994,0,МАГАЗИН №205,362007,"ул. Пушкинская, 5/3",8.00-20.00; пер.  13.30-14.00; без вых.,,,5,0,67,,,
996,0,КИТ магазин,362035,"ул. Московская, 27/1",9.00-19.00,,,6,0,75,,,
1001,0,ЧЕРЕМУШКИ,362031,"ул. Леонова, 5","9.00-22.00; без пер. , вых.",,,5,0,83,,,
1002,0,РУСО+А,362021,"ул. Минина, 1","8.00-21.00; без пер. , вых.",,,5,0,67,,,
1003,0,ОКЕАН магазин ,362040,"просп. Мира, 54","10.00-22.00; без пер. , вых.",,,5,0,67,,,
1005,0,МАГНИТ магазин,362015,"просп. Коста, 40","9.00-20.30; без пер. , вых.",,,5,0,67,,,
1009,0,ЗОЛОТО 585,362025,"ул. Джанаева, 38","9.00-20.00; без пер. , вых.",,,5,0,67,,,
1012,0,ВИКТОРИЯ супермаркет,362048,"ул. Первомайская, 44 а","9.00-22.00; без пер. , вых.",,,6,0,83,,,
1014,0,МАГНИТ магазин,362048,"просп. Ген.Доватора, 15/2","10.00-21.30; без пер. , вых.",,,5,0,67,,,
1016,0,"БАГИРА, магазин №80",362042,"ул. Мичурина, 20 а","8.00-22.00; без пер. , вых.",,,5,0,67,,,
1018,0,ФОРУМ магазин,362003,"ул. Московская, 17",8.00-21.00; пер.  14.00-14.30; без вых.,,,5,0,83,,,
1022,0,ЦЕНТРАЛЬНЫЙ супермаркет,362040,"ул. Г.Баева, 31","9.00-23.00; без пер. , вых.",,,6,0,83,,,
1039,0,ВЕЛЮР,362027,"ул. Маркуса, 29","11.00-19.00; без пер. , вых.; Вс. 10.00-17.00",,,5,0,67,,,
1040,0,ЗОЛУШКА магазин,362031,"просп. Коста, 237","9.00-22.00; без пер. , вых.",,,5,0,83,,,
1042,0,СТЭЙТОН супермаркет,362040,"ул. Куйбышева, 20","10.00-22.00; без пер. , вых.",,,6,0,67,,,
1045,0,ХОБО магазин,362021,"ул. Тельмана, 8",8.00-18.00; вых. Вс.,,,5,0,67,,,
1054,0,МАГНИТ магазин,362043,"ул. А.Кесаева, 32 а","10.00-20.30; без пер. , вых.",,,5,0,67,,,
1057,0,"ИСКРА, магазин №14",362021,"ул. Иристонская, 14",9.00-18.00; вых. Вс.,,,5,0,67,,,
1058,0,КНИГИ магазин,362025,"ул. Бородинская, 12",9.00-18.00,irina-vl-777@yandex.ru,,5,0,75,,,
1060,0,КНИГИ,362040,ул. Гостиева/ул. Куйбышева,"10.00-19.00; без пер. , вых.",,,6,0,67,,,
1061,0,КРУГОЗОР магазин,362027,"ул. Кирова, 45",8.30-18.00,,,5,0,67,,,
1065,0,ГАЛЕМА магазин,,"ул. Иристонская, 16 б",9.00-18.00; вых. Вс.,,,5,0,83,,,
1068,0,КАНЦТОВАРЫ И КНИГИ,362031,"ул. Леонова, 5/1","9.00-18.00; вых. Сб., Вс.",,,5,0,75,,,
1077,0,ОРАНЖЕВОЕ СОЛНЦЕ магазин,362040,"ул. Бутырина, 14","9.00-19.00; без пер. , вых.",,,5,0,75,,,
1083,0,ВИКАР филиал,362040,"просп. Мира, 1",9.00-18.00; Сб. 10.00-14.00; вых. Вс.,info@vikarplus.ru,www.vikarplus.ru,6,0,71,,,
1086,0,КОРИУС,362040,"ул. Димитрова, 2","9.00-18.00; Сб., Вс. 10.00-14.00",ivar@corius.ru,,5,0,67,,,
1087,0,СПИН ТТЦ,362040,"пер. Станиславского, 14",10.00-19.00; Сб. 10.00-15.00; вых. Вс.,,,5,0,67,,,
1088,0,ELSIE компьютерный салон,362040,"ул. Кирова, 26",10.00-19.00,,www.elsieshop.ru,6,0,67,,,
1093,0,КиМ-2,362027,"просп. Коста, 234",9.00-19.00; вых. Вс.,,,5,0,71,,,
1099,0,ФРОНДА,,"ул. Московская, 45/1",10.00-18.00; без пер. ; вых. Вс.,,,5,0,71,,,
1102,0,КМД,362027,"ул. Маркуса, 6",9.00-18.00; пер.  13.00-14.00; Сб. 10.00-13.00; вых. Вс.,kmdvlad@rambler.ru,www.kmd-mebel.ru,5,0,71,,,
1107,0,У БАТРАЗА,362048,"просп. Ген.Доватора, 20 б","9.00-21.00; без пер. , вых.",,,5,0,67,,,
1132,0,"ПЛОДЫ И ОВОЩИ ОСЕТИИ, магазин №36",362015,"просп. Коста, 21",8.00-20.00,,,5,0,67,,,
1141,0,ВЕРОНИКА магазин,362040,"ул. Джанаева, 29",10.00-19.00; без пер. ; вых. Вс.,,,5,0,67,,,
1142,0,ГЕРМЕС магазин,362035,"ул. Леваневского, 275",10.00-19.00; Вс. 10.00-17.00,,,5,0,83,,,
1144,0,ОБУВЬ магазин,362040,"ул. Ленина, 27",11.00-19.00,,,5,0,67,,,
1146,0,КЕНГУРУ,362027,"ул. Тамаева, 43","11.00-19.00; без пер. , вых.",,,5,0,67,,,
1148,0,СЕДЬМОЙ КОНТИНЕНТ,362031,"просп. Коста, 296","11.00-19.00; без пер. , вых.",,,5,0,67,,,
1153,0,МАГАЗИН №15,362025,"ул. Джанаева, 38",8.00-18.00; без пер. ; вых. Вс.,,,5,0,67,,,
1154,0,"ДОМ ТКАНИ, магазин №20",362040,"просп. Мира, 38",10.00-19.00; без пер. ; вых. Вс.,,,5,0,67,,,
1155,0,ПОХОДКА салон обуви и аксессуаров,362040,"ул. Куйбышева, 3",10.00-20.00,,,6,0,67,,,
1159,0,МИЛАВИЦА магазин,362040,"ул. Тамаева, 23/пер. Базарный, 8",10.00-19.00,,,5,0,67,,,
1161,0,БРАВО салон-магазин тканей,362027,"ул. Революции, 55",11.00-19.00; Сб. 11.00-18.00; вых. Вс.,,,5,0,67,,,
1164,0,ДЖИНСОВАЯ ОДЕЖДА,362040,"ул. Бутырина, 21","10.00-19.30; без пер. , вых.",,,5,0,67,,,
1165,0,СТОК MAN,362025,"ул. М.Горького, 53","10.00-19.00; без пер. , вых.",,,5,0,67,,,
1166,0,ШАХ-НАМЭ магазин,362027,"ул. Маркова, 8","10.00-19.00; без пер. , вых.",,,5,0,67,,,
1170,0,ТАНДЕМ магазин,362025,"ул. Куйбышева, 66",9.00-19.00; без пер. ; вых. Вс.,,,5,0,83,,,
1201,0,ОСЭ-ЛИМИТЕД,362002,"ул. Чапаева, 3",9.00-18.00; пер.  12.30-13.00; вых. Вс.,,,5,0,67,,,
1256,0,КУРАЖ магазин,362040,"ул. Ленина, 72/48","10.00-19.00; без пер. , вых.",,,5,0,83,,,
1261,0,ДИДИНАГ магазин,362040,"просп. Мира, 18",10.00-20.00; вых. Вс.,,,5,0,83,,,
1266,0,NIKE магазин,362040,"ул. Джанаева, 21","10.00-19.00; без пер. , вых.",,,5,0,83,,,
1268,0,ЗОЛУШКА филиал,362027,"ул. Джанаева, 55","8.00-20.00; без пер. , вых.",,,5,0,83,,,
1269,0,КОМФОРТ,362002,"ул. Чкалова, 43","10.00-20.00; без пер. , вых.",,,5,0,71,,,
1270,0,МАГАЗИН №108,362027,"ул. Рамонова, 24","9.00-18.00; без пер. , вых.",,,5,0,67,,,
1273,0,БЕРЕЗКА магазин,362031,"просп. Коста, 282/1","10.00-20.00; без пер. , вых.; Вс. 10.00-18.00",,,5,0,83,,,
1274,0,ЕВРОСЕТЬ,362040,"просп. Мира, 8",,,,5,0,67,,,
1275,0,REEBOK,362040,"ул. Маркуса, 13",10.00-20.00,,,5,0,67,,,
1276,0,ФАТИМА магазин,362040,"просп. Мира, 16",10.00-19.00; вых. Вс.,,,6,0,83,,,
1279,0,ФАРН,362035,"просп. Коста, 261","9.00-18.30; без пер. , вых.",,,5,0,71,,,
1288,0,ВСЕ ДЛЯ ВАС,362021,"ул. Пожарского, 7",10.00-19.00,,,6,0,71,,,
1324,0,ХАЗНАДОН магазин,362040,"ул. Джанаева, 33",10.00-19.00; без пер. ; вых. Вс.,,,5,0,67,,,
1339,0,ЛЮКС ОПТИКА,362043,"ул. Владикавказская, 22","9.00-19.00; Сб., Вс. 10.00-18.00",,,5,0,83,,,
1343,0,УПАКОВОЧНЫЕ МАТЕРИАЛЫ магазин,362040,"ул. Маркуса, 19","9.00-20.00; без пер. , вых.; Вс. 9.00-18.00",flamingo@osetia.ru,,6,0,71,,,
1344,0,ФЛОРА аптека,362040,"ул. Г.Баева, 9","8.30-21.00; без пер. , вых.",,,5,0,83,,,
1345,0,ШАЛДОНСКИЙ ПОЛУСТАНОК магазин,362025,"ул. М.Горького, 55",13.00-18.00; без пер. ; вых. Вс.,,,5,0,67,,,
1346,0,ГОРЕЦ Северо-Кавказский региональный оружейный центр,362008,"ул. Ген.Плиева, 19","10.00-18.00; без пер. , вых.; Вс. 10.00-16.00",gorets-guns@mail.ru,,5,0,67,,,
1348,0,МИР СТЕКЛА,362040,"просп. Мира, 33","11.00-19.00; без пер. , вых.",,,5,0,71,,,
1350,0,УЧКОЛЛЕКТОР магазин,362040,"ул. Бутырина, 14",9.00-19.00; вых. Вс.,,,5,0,75,,,
1352,0,ПЧЕЛКА магазин,362040,"ул. Армянская, 7",10.00-17.00; вых. Сб.,,,5,0,67,,,
1358,0,ВИВЕР магазин,362045,"ул. Владикавказская, 26/4","9.00-19.00; без пер. , вых.",,,5,0,71,,,
1360,0,ГИАЦИНТ,362047,"ул. Морских пехотинцев, 13",9.00-18.00; без пер. ; Сб. 9.00-14.00; вых. Вс.,,,5,0,71,,,
1362,0,ДСК и К,362002,"ул. О.Кошевого, 84","9.00-17.00; вых. Сб., Вс.",,,5,0,103,,,
1364,0,ПАРФЕНОН,362013,"просп. Коста, 101",9.00-18.00; вых. Вс.,,www.parfenon-design.ru,6,0,71,,,
1369,0,СИР,362027,"ул. Маркуса, 8",9.00-19.00; пер.  13.00-14.00; вых. Вс.,sir.ofis@mail.ru,www.sir-okna.ru,5,0,71,,,
1370,0,МИЛЕНА,362040,"ул. Ленина, 60","11.00-19.00; без пер. , вых.",,,5,0,67,,,
1372,0,РИГЕЛЬ +,362019,"ул. Коцоева, 31",9.00-18.00; Сб. 10.00-16.00; вых. Вс.,rigel_alania@mail.ru,,5,0,71,,,
1373,0,СОМ центр,362035,"ул. Московская, 3","9.00-19.00; без пер. , вых.; Вс. 10.00-16.00",info@center-com.ru,www.center-com.ru,5,0,71,,,
1376,0,ЖИРАФ сантехцентр,362021,"ул. Тельмана, 3",9.00-19.00; Вс. 9.00-18.00,,,6,0,71,,,
1378,0,СТРОЙХОЗТОВАРЫ,362015,"просп. Коста, 13","8.00-18.00; без пер. , вых.",,,5,0,71,,,
1379,0,ФЛАГМАН магазин,,"ул. Мичурина, 39","8.00-22.00; без пер. , вых.",,,5,0,67,,,
1383,0,ОФИСНЫЙ МИР мебельный салон,362021,"ул. Тельмана, 14",9.00-18.00; без пер. ; вых. Вс.,,www.office-mir.ru,5,0,71,,,
1386,0,СХОДНЯ МЕБЕЛЬ,362039,"ул. Галковского, 233","10.00-19.00; без пер. , вых.",,,6,0,71,,,
1387,0,1000 МЕЛОЧЕЙ,362040,"ул. Маркуса, 7",10.00-19.00; вых. Вс.,,,5,0,71,,,
1388,0,БЕРЕЗКА аптека,362027,"ул. Ватутина, 100, супермаркет =Наш=","9.00-21.00; без пер. , вых.",,,5,0,83,,,
1392,0,ТОРГТЕХНИКА,362027,"ул. Ватутина, 100",8.30-17.00; вых. Вс.,,,5,0,71,,,
1404,0,СОЛНЕЧНЫЙ супермаркет,362040,"просп. Мира, 15","9.00-23.00; без пер. , вых.",,,5,0,67,,,
1415,0,ТЕКСТИЛЬ ЦЕНТР,362031,"просп. Коста, 270",10.00-19.00; без пер. ; вых. Вс.,,,5,0,71,,,
1420,0,ПРОДУКТЫ магазин,362040,"ул. Куйбышева, 30","9.00-20.00; без пер. , вых.",,,5,0,67,,,
1425,0,ИФТОНГ кондитерская,362025,"ул. Куйбышева, 21",круглосуточно,,,5,0,67,,,
1429,0,МАЛАХИТОВАЯ ШКАТУЛКА,362027,"ул. Маркуса, 8",10.30-19.00; Вс. 11.30-17.00,,,6,0,67,,,
1430,0,ЖЕМЧУЖИНА ювелирный магазин,362040,"ул. Куйбышева, 11",11.00-19.00; без пер. ; вых. Вс.,,,5,0,67,,,
1431,0,НАУАГ РАСТАГ магазин,362027,"ул. Кирова, 41",11.00-19.00; без пер. ; вых. Вс.,,,5,0,67,,,
1432,0,ПОДАРКИ салон-магазин,362027,"ул. Маркуса, 41 а",10.00-19.00,podarki-osetia@mail.ru,,5,0,67,,,
1433,0,РУБИН магазин,362020,"просп. Коста, 224",10.00-19.00; Вс. 10.00-17.00,,,5,0,67,,,
1435,0,ТОПАЗ магазин,362027,"ул. Кирова, 64",11.00-19.00; без пер. ; вых. Вс.,,,6,0,67,,,
1453,0,ПИТ-СТОП,362048,"ул. Гадиева, 81 а",круглосуточно,,,5,0,99,,,
1508,0,МЕТАЛЛОПРОКАТ,362027,"ул. Мичурина, 20 а",9.00-17.00; Сб. 9.00-14.00; вых. Вс.,,,5,0,71,,,
1579,0,МАСТЕР-АУДИО салон автоэлектроники,362002,"ул. Курская, 1",9.00-18.00; без пер. ; Сб. 9.00-16.00; вых. Вс.,,www.masteraudio.ru,5,0,99,,,
1581,0,АЛАРМ-СЕРВИС,362004,"Карцинское шоссе, 7",10.00-18.00; вых. Вс.,alarmservise@mail.ru,,5,0,99,,,
1603,0,ЯНА турфирма,362040,"ул. Станиславского, 8",10.00-18.00,,,5,0,83,,,
1622,0,ПЕРСОНА салон красоты,362021,"ул. Пожарского, 8","9.00-20.00; без пер. , вых.",,,6,0,83,,,
