"_id","ph_number","ph_owner","ph_org_id","ph_ownerFIO"
"58012","641348","","430",""
"58059","536064","","2378",""
"58060","90111","","6056",""
"58077","563083","","7253",""
"58083","30721","","7531",""
"58088","521620","","1759",""
"58089","525109","","1759",""
"58107","89888783107","","11834",""
"58110","95142","","5955",""
"58121","250060","","12175",""
"58122","988966","","12175",""
"58123","977922","","12175",""
"58127","93110","","5994",""
"58140","92320","","5933",""
"58145","537041","","495",""
"58152","541471","","11374",""
"58154","91446","","262",""
"58156","548161","","1570",""
"58159","31110","","3353",""
"58160","31086","","6691",""
"58161","546318","","7185",""
"58162","442042","","7185",""
"58168","32828","","1561",""
"58169","31785","","1559",""
"58170","649704","","1557",""
"58174","32662","","3352",""
"58177","532047","","1566",""
"58179","751208","","1575",""
"58187","529081","","11389",""
"58205","403226","","11706",""
"58206","531448","","11030",""
"58207","573723","","11029",""
"58208","37323","","11031",""
"58209","31213","","12130",""
"58210","250749","","10607",""
"58232","407016","","5546",""
"58237","641046","","5621",""
"58242","730243","","6555",""
"58248","535855","","5775",""
"58249","531285","председатель","2494",""
"58250","536489","бухгалтерия","2494",""
"58283","745418","","7957",""
"58327","22291","мебель","1407",""
"58328","21001","хоз. отдел","1407",""
"58329","33352","","473",""
"58330","37187","","473",""
"58332","762630","","471",""
"58335","549867","","461",""
"58336","91970","","11954",""
"58337","23660","","470",""
"58338","32031","","469",""
"58340","89288641064","цех","3334",""
"58341","756035","проходная","3334",""
"58342","778224","","9032",""
"58343","546706","","9032",""
"58344","89286881634","","9032",""
"58345","520704","","2947",""
"58359","30113","","5936",""
"58370","22750","1 этаж","8081",""
"58371","32244","2 этаж","8081",""
"58372","32844","2 этаж","8081",""
"58375","740870","","970",""
"58387","33532","","6083",""
"58388","24472","","6297",""
"58394","41110","","6025",""
"58395","27735","","8968",""
"58405","37148","директор","7695",""
"58406","36920","бухгалтер","7695",""
"58407","32576","отдел кадров","7695",""
"58408","30694","отдел кадров","7695",""
"58426","743090","","8285",""
"58427","516448","","8286",""
"58428","514019","","8286",""
"58439","616060","","3726",""
"58440","446060","","3726",""
"58449","752573","","3799",""
"58466","493002","","12219",""
"58467","89014973002","","12219",""
"58470","537497","завуч","3433",""
"58471","536972","вахта","3433",""
"58475","761065","","5182",""
"58476","767984","","5182",""
"58477","766641","","5182",""
"58478","545261","завуч","2265",""
"58479","549226","директор","2265",""
"58482","761677","директор","2267",""
"58483","761682","завуч","2267",""
"58484","758214","директор","2268",""
"58485","755314","завуч","2268",""
"58486","251392","бухгалтер","2268",""
"58487","534204","завуч","2263",""
"58488","536027","директор","2263",""
"58491","752790","директор","2272",""
"58492","751459","завуч","2272",""
"58493","778153","директор","2273",""
"58494","778412","завуч","2273",""
"58495","778413","вахта","2273",""
"58496","745078","директор","2275",""
"58497","517204","завуч, учительская","2275",""
"58498","744449","директор","2276",""
"58499","740232","завуч","2276",""
"58500","517330","директор","2277",""
"58501","514177","завуч","2277",""
"58502","514155","учительская, вахта","2277",""
"58503","563235","завуч","2278",""
"58504","537415","директор","2278",""
"58505","534364","вахта","2278",""
"58506","539795","директор","2280",""
"58507","539575","завуч","2280",""
"58508","537743","вахта","2280",""
"58511","534784","учительская","2281",""
"58512","536786","директор","2281",""
"58513","754081","директор","2282",""
"58514","750082","завуч","2282",""
"58523","744284","секретарь","2288",""
"58524","740296","директор","2288",""
"58525","741180","учительская, завуч","2288",""
"58526","569026","секретарь","2289",""
"58527","580429","директор","2289",""
"58528","580440","бухгалтерия","2289",""
"58529","515239","директор, приемная","2290",""
"58530","515275","завуч, учительская","2290",""
"58531","515241","вахта","2290",""
"58532","774682","завуч","2306",""
"58533","774496","директор","2306",""
"58534","774770","вахта","2306",""
"58535","778178","завуч","2291",""
"58536","778183","директор","2291",""
"58537","778091","бухгалтерия","2291",""
"58538","778201","вахта","2291",""
"58539","779659","директор","7930",""
"58540","777647","завуч","7930",""
"58541","779698","бухгалтерия","7930",""
"58542","779640","вахта","7930",""
"58543","570258","директор","2292",""
"58544","771458","завуч начальных классов","2292",""
"58545","771459","вахта","2292",""
"58546","524355","приемная","2293",""
"58547","524421","завуч","2293",""
"58548","526711","бухгалтерия","2293",""
"58549","523401","вахта","2293",""
"58550","525008","завучи","2294",""
"58551","521692","завучи","2294",""
"58552","521761","директор","2294",""
"58553","617140","директор","2295",""
"58554","617129","завуч","2295",""
"58555","617128","вахта","2295",""
"58556","567747","директор","2309",""
"58557","567440","бухгалтерия","2309",""
"58558","573322","секретарь","2296",""
"58559","577333","директор","2296",""
"58560","573300","компьютерный кабинет","2296",""
"58564","741182","директор","2300",""
"58565","747374","завуч","2300",""
"58566","745029","учительская","2300",""
"58571","560712","директор","2301",""
"58572","560713","учительская","2301",""
"58573","756431","","2302",""
"58574","544527","","7954",""
"58575","22877","директор","2255",""
"58576","22876","завуч, вахта","2255",""
"58577","30574","директор","2254",""
"58578","32387","вахта","2254",""
"58579","280433","директор","2246",""
"58580","530196","секретарь, вахта","2246",""
"58581","280497","завуч","2246",""
"58582","280466","бухгалтерия","2246",""
"58588","759144","","3030",""
"58592","32990","секретарь","7133",""
"58593","31046","бухгалтерия","7133",""
"58594","32237","проходная","7133",""
"58598","34130","","5772",""
"58599","31505","","5772",""
"58603","89604007070","","10913",""
"58604","89618255334","","10795",""
"58611","89194202221","","11420",""
"58615","402685","","10788",""
"58616","89284836666","","7065",""
"58617","440607","","7065",""
"58620","444321","","4215",""
"58621","514321","","4215",""
"58626","33993","отдел","1857",""
"58627","31196","склад","1857",""
"58631","35364","","7758",""
"58657","505010","","6427",""
"58658","563484","","6427",""
"58661","492900","","12178",""
"58662","89014972900","","12178",""
"58668","552061","","10967",""
"58671","494942","","12179",""
"58672","89014974942","","12179",""
"58674","552332","","9513",""
"58678","490285","","11152",""
"58679","89014970285","","11152",""
"58680","594540","секретарь","385",""
"58681","594614","начальник","385",""
"58682","594541","начальник","385",""
"58683","770767","секретарь","5916",""
"58684","776783","бухгалтерия","5916",""
"58685","551478","","6995",""
"58686","89282662212","","6995",""
"58687","89289331570","","6995",""
"58688","748918","","3700",""
"58693","536414","","2912",""
"58694","520838","","4112",""
"58695","89284930851","","4112",""
"58696","89280700284","","4112",""
"58698","521991","","7924",""
"58699","528414","","7924",""
"58704","31060","директор","2589",""
"58705","32886","директор","2589",""
"58706","33160","технический директор","2589",""
"58707","32793","бухгалтерия","2589",""
"58708","32993","бухгалтерия","2589",""
"58709","32799","бухгалтерия","2589",""
"58710","740005","","3139",""
"58711","89194201233","","3139",""
"58714","535736","","1697",""
"58734","534961","приемная","2824",""
"58735","547540","директор","2824",""
"58736","535450","коммерческий директор","2824",""
"58737","534962","исполнительный директор","2824",""
"58738","533813","отдел снабжения","2824",""
"58739","538491","отдел энергетики","2824",""
"58740","538246","отдел комплектации","2824",""
"58741","540103","отдел сбыта","2824",""
"58742","538255","отдел сбыта","2824",""
"58743","535215","отдел маркетинга","2824",""
"58744","537738","инженерный центр","2824",""
"58745","532967","отдел кадров","2824",""
"58746","530418","проходная","2824",""
"58751","24488","","7878",""
"58752","764006","цех","2770",""
"58753","761642","бухгалтерия","2770",""
"58754","518559","бухгалтерия","2770",""
"58773","89054891441","","12070",""
"59106","37237","","7776",""
"59107","593533","приемная","2562",""
"59108","535930","директор","2562",""
"59109","593468","коммерческий директор","2562",""
"59110","593700","финансовый отдел","2562",""
"59111","764490","канцелярия","2562",""
"59112","593508","канцелярия","2562",""
"59113","593236","гл. бухгалтер","2562",""
"59114","593300","АТС","2562",""
"59115","593606","столовая ","2562",""
"59118","517315","секретарь","6449",""
"59119","519161","директор","6449",""
"59120","514324","бухгалтерия","6449",""
"59121","23351","","7854",""
"59126","89888332571","","12366",""
"59139","517668","приемная","2873",""
"59140","519018","торговый отдел","2873",""
"59141","768082","торговый отдел","2873",""
"59142","518829","бухгалтерия","2873",""
"59153","514389","","6928",""
"59154","505106","","6928",""
"59174","89284802114","","12210",""
"59184","553497","","12399",""
"59188","52136","","1547",""
"59218","758552","","4206",""
"59222","649078","","11720",""
"59223","742146","","8100",""
"59228","563396","","6720",""
"59251","443026","","9868",""
"59252","51837","директор","2236",""
"59253","52745","заместитель","2236",""
"59254","51027","бухгалтерия","2236",""
"59265","442650","","9153",""
"59267","745494","","7861",""
"59268","617227","","7859",""
"59277","444252","","9709",""
"59285","572666","","3233",""
"59290","570557","","5865",""
"59291","31255","","9071",""
"59320","766343","","1798",""
"59321","89280701710","","1798",""
"59323","21681","","6238",""
"59327","537899","","501",""
"59331","773988","","6544",""
"59338","532493","","504",""
"59339","964994","","504",""
"59394","747531","заведующая","2103",""
"59395","742102","вахта","2103",""
"59396","776316","","5574",""
"59397","443100","","6670",""
"59618","31155","","1441",""
"59636","649377","","629",""
"59637","649737","","629",""
"59648","50343","директор","4444",""
"59649","50107","бухгалтерия","4444",""
"59650","50562","бухгалтерия","4444",""
"59651","50341","проходная","4444",""
"59655","740340","приемная","2825","Марина Николаевна"
"59656","745140","директор","2825",""
"59657","744194","гл. бухгалтер","2825",""
"59661","539861","секретарь","3002",""
"59662","534571","заместитель","3002",""
"59663","538462","редакционно-издательский отдел","3002",""
"59664","547532","ученый секретарь","3002",""
"59665","539327","бухгалтерия","3002",""
"59667","560884","","441",""
"59677","30858","","6171",""
"59678","89289281090","","11808",""
"59679","89280666456","","11808",""
"59683","567014","","7723",""
"59684","740221","","170",""
"59704","533232","директор","2317",""
"59705","532517","читальный зал","2317",""
"59706","533234","абон. отдел","2317",""
"59709","538555","","1592",""
"59758","510024","приемная","6459",""
"59759","513634","гл. инженер","6459",""
"59760","514777","бухгалтерия","6459",""
"59769","776943","","2128",""
"59770","776941","","2128",""
"59772","749583","","4149",""
"59773","749244","","4149",""
"59781","89188349324","","11544",""
"59789","778856","","3144",""
"59790","779678","","1551",""
"59793","746408","","4252",""
"59794","539168","","2213",""
"59799","254791","","11850",""
"59800","89284941063","","11850",""
"59803","407424","","2214",""
"59808","33789","","3930",""
"59864","31948","директор","1213",""
"59865","33184","снабжение","1213",""
"59866","31985","землестроительство","1213",""
"59874","91404","","6711",""
"59875","89284956647","","6711",""
"59891","22711","","5288",""
"59897","27171","","6903",""
"59899","89618225589","","10807",""
"59900","30628","","5290",""
"59901","89064955472","","5290",""
"59904","532746","","9917",""
"59905","89288586008","","9917",""
"59908","539011","","6723",""
"59909","89188271212","","6723",""
"59910","250365","","8524",""
"60029","535519","","1464",""
"60031","91513","","7454",""
"60032","528295","","1467",""
"60035","404541","","11574",""
"60036","999424","","11574",""
"60046","89631777877","","8582",""
"60058","548125","касса","2390",""
"60059","537681","администраторы","2390",""
"60060","532475","администраторы","2390",""
"60061","532477","приемная","2390",""
"60062","532434","гл. режиссер","2390",""
"60063","548694","зав. литературной частью","2390",""
"60064","537837","бухгалтерия","2390",""
"60065","548693","отдел кадров","2390",""
"60066","548692","начальник снабжения","2390",""
"60067","539710","зам. по хозяиственной части","2390",""
"60068","532671","вахта","2390",""
"60072","918555","","10711",""
"60074","37052","","8084",""
"60079","944450","","9293",""
"60080","21633","","6315",""
"60081","21920","начальник","1765",""
"60082","24365","гл. бухгалтер","1765",""
"60083","21509","АБО","1765",""
"60084","22527","сторож","1765",""
"60091","24335","","7895",""
"60092","20471","","7895",""
"60093","22634","","7895",""
"60094","20942","директор","2772",""
"60095","22971","бухгалтерия","2772",""
"60096","24424","приемное отд-е","1907",""
"60097","52248","приемное отд-е","1907",""
"60098","31820","гл. врач","1907",""
"60099","52222","гинекологич. отд-е","1907",""
"60100","52234","детское отд-е","1907",""
"60101","52246","инфекционное отд-е","1907",""
"60102","52236","неврологич. отд-е","1907",""
"60103","32444","неврологич. отд-е","1907",""
"60104","52219","реабилитационное отд-е","1907",""
"60105","24311","реанимационное отд-е","1907",""
"60106","52210","реанимационное отд-е","1907",""
"60107","52224","родильное отд-е","1907",""
"60108","24309","терапевтич. отд-е","1907",""
"60109","52235","терапевтич. отд-е","1907",""
"60110","20275","хирургическое отд-е","1907",""
"60111","52223","хирургическое отд-е","1907",""
"60112","24436","скорая помощь","1907",""
"60113","52226","операционный блок","1907",""
"60114","52232","лаборатория","1907",""
"60115","24217","стоматологич. пол-ка","1907",""
"60116","52230","стоматологич. пол-ка","1907",""
"60117","31890","бухгалтерия","1907",""
"60118","22912","оперативно-диспетчерская группа","3165",""
"60119","32581","начальник электросетей","3165",""
"60120","32825","гл. инженер","3165",""
"60121","31303","группа подстанции","3165",""
"60122","22547","директор","2551",""
"60123","23867","гл. инженер","2551",""
"60124","24564","гл. бухгалтер","2551",""
"60125","24762","цех","2551",""
"60126","22225","приемная","2813",""
"60127","32156","директор","2813",""
"60128","500706","директор","2813",""
"60129","32590","заместитель","2813",""
"60130","24318","гл. инженер","2813",""
"60131","22732","гл. инженер","2813",""
"60132","21407","гл. бухгалтер","2813","Баскаева Людмила Власовна"
"60133","32365","начальник","5152",""
"60134","31626","заместитель","5152",""
"60135","32715","","5284",""
"60136","32716","","5284",""
"60137","22441","","4168",""
"60138","32813","начальник","11970",""
"60139","32814","АБО","11970",""
"60141","778545","","10747",""
"60142","754500","директор","2376",""
"60143","758406","худ. руководитель","2376",""
"60144","250442","администрация","2376",""
"60145","551964","бухгалтерия","2376",""
"60147","771720","","1296",""
"60148","578326","","1296",""
"60153","92855","","7690",""
"60154","51476","","4450",""
"60156","560256","","7787",""
"60159","31881","","6116",""
"60160","31031","","6116",""
"60169","540203","","6373",""
"60170","640114","приемная","696",""
"60171","641311","заместители","696",""
"60172","533688","информационный отдел русской редакции","696",""
"60173","536664","информационный отдел осетинской редакции","696",""
"60174","551756","бухгалтерия","696",""
"60175","641004","плановый отдел","696",""
"60179","530340","приемная","615",""
"60180","547957","пресс-центр","615",""
"60181","534875","коммерческий отдел","615",""
"60182","531426","зав. спорт. сооружениями","615",""
"60183","529461","приемная","1778",""
"60184","527878","директор","1778",""
"60185","524654","нач. тех. отдела","1778",""
"60186","528624","нач. тех. отдела","1778",""
"60187","22498","диспетчер","3397",""
"60188","31048","начальник","3397",""
"60189","31049","бухгалтерия","3397",""
"60194","30268","","7997",""
"60195","532896","диспетчер (круглосуточно)","5350",""
"60196","551802","диспетчер (круглосуточно)","5350",""
"60197","532882","автоответчик (8.00-22.00)","5350",""
"60201","518120","директор","6446",""
"60202","518121","гл. инженер","6446",""
"60203","518122","бухгалтерия","6446",""
"60204","89284849138","","8777",""
"60209","771295","","5869",""
"60211","551466","","7809",""
"60220","33035","","9112",""
"60221","34401","","9110",""
"60222","34402","","9110",""
"60223","92617","","7094",""
"60224","51078","начальник","3409",""
"60225","51335","общий отдел","3409",""
"60226","34053","секретарь","3408",""
"60227","32452","директор","3408",""
"60228","36024","юридический отдел","3408",""
"60229","31374","","3407",""
"60230","24520","","5885",""
"60231","540196","дежурный","3429",""
"60232","534694","дежурный","3429",""
"60233","545916","зам. начальника","3429",""
"60234","30138","","6259",""
"60235","51244","","11144",""
"60259","544204","","4055",""
"60268","89054894328","","12345",""
"60270","55137","","5584",""
"60271","92355","","7123",""
"60272","534720","","2140",""
"60289","37255","","7240",""
"60290","35445","директор","4496",""
"60291","36767","бухгалтерия","4496",""
"60294","744102","","2007",""
"60295","749027","","2007",""
"60298","921221","","11383",""
"60299","89284930833","","11383",""
"60300","89034845645","","11384",""
"60308","767016","","1755",""
"60309","767006","","1755",""
"60318","523613","","6539",""
"60321","536490","","11971",""
"60371","519919","","3836",""
"60372","499090","","3836",""
"60373","93147","","11632",""
"60374","57278","","11070",""
"60375","31215","регистратура","6021",""
"60376","31103","приемное отд-е","6021",""
"60377","31240","терапевт. отд-е","6021",""
"60379","744591","","8940",""
"60730","731875","директор","2283",""
"60731","731865","завуч","2283",""
"60732","731855","завуч начальной школы","2283",""
"60733","731014","директор","2286",""
"60734","731150","завуч","2286",""
"60735","731027","завуч","2286",""
"60826","36136","глава АМС","4600",""
"60849","37122","глава АМС","4603",""
"60952","89188280685","","12442",""
"60995","527754","","7584",""
"61113","30901","","5799",""
"61181","32489","диспетчер","1782",""
"61182","30103","бухгалтерия","1782",""
"61199","30974","","6156",""
"61309","541190","руководитель","10835",""
"61310","541156","операционный зал","10835",""
"61311","536008","бухгалтерия","10835",""
"61368","89882843788","","12222",""
"61370","91141","","8064",""
"61371","89284979525","","8064",""
"61474","89888770011","","12451",""
"61527","37279","","7616",""
"61531","764042","","791",""
"61536","528524","","8900",""
"61538","513842","","9682",""
"61637","89289300077","","10522",""
"61670","530585","","415",""
"61671","44181","","5429",""
"61683","741279","диспетчер","1445",""
"61684","747322","приемная","1445",""
"61685","745030","бухгалтерия","1445",""
"61690","758362","","622",""
"61721","46319","","6081",""
"61725","34577","","6077",""
"61726","31423","","4075",""
"61796","88007008000","горячая линия","4212",""
"61797","88007005060","","4212",""
"61798","88001000628","","4212",""
"61799","88007000080","","4212",""
"61802","762733","","10787",""
"61870","59130","","6010",""
"62004","531188","","9346",""
"62013","579612","","9533",""
"62045","54626","","5696",""
"62055","94668","","5705",""
"62066","565778","","5920",""
"62087","541517","","10959",""
"62088","541544","","10959",""
"62109","914160","","13018",""
"62127","441792","","8844",""
"62211","754518","","2776",""
"62212","753794","","2776",""
"62213","541298","","7086",""
"62236","515393","","8018",""
"62258","535950","","1810",""
"62321","32270","дежурный","4538",""
"62322","30271","военный комиссар","4538",""
"62323","32272","начальник 1-го отделения","4538",""
"62324","32274","начальник 2-го отделения","4538",""
"62325","32273","начальник 3-го отделения","4538",""
"62387","250309","","7313",""
"62546","254797","специалисты","4699",""
"62547","551302","начальник","4699",""
"62569","440442","","11857",""
"62642","41136","дежурный (круглосуточно)","4797",""
"62643","41123","нач-к ОП","4797",""
"62644","41181","зам. нач-ка","4797",""
"62726","749567","начальник общего отдела","356",""
"62727","518125","начальник общего отдела","356",""
"62728","518659","заместители","356",""
"62729","240492","заместители","356",""
"62730","748591","приемная","356",""
"62731","510640","приемная","356",""
"62732","409715","группа по работе с обращениями граждан","356",""
"62809","516989","","5148",""
"62810","775712","","5134",""
"62824","22436","","7289",""
"62825","32835","","7289",""
"62826","32365","","7289",""
"62846","42938","","5416",""
"62852","539251","","6836",""
"62870","91116","","11946",""
"62881","21506","","6272",""
"62888","23805","торговый зал","2961",""
"62889","31096","бухгалтер","2961",""
"62922","32421","почта","7251",""
"62923","34003","отдел доставки","7251",""
"62924","35042","посыльный","7251",""
"62925","31279","мастера","7251",""
"62931","22891","","9419",""
"62932","27218","","9200",""
"62947","31758","","5154",""
"62948","31343","","5154",""
"62949","31758","","8584",""
"62950","31343","","8584",""
"62962","31155","","9196",""
"62963","37890","","477",""
"62967","32328","","4941",""
"62968","35719","","4941",""
"62969","22986","инспекторы","4940",""
"62970","22776","инспекторы","4940",""
"62971","23359","инспекторы","4940",""
"62972","22081","начальник","4940",""
"62998","778911","","26",""
"63038","50161","","8616",""
"63040","54125","","8617",""
"63060","90895","","4415",""
"63061","92092","","4415",""
"63107","505822","","8306",""
"63121","444100","","3743",""
"63122","404866","","12039",""
"63137","535902","","5451",""
"63151","524050","","3566",""
"63211","253949","директор","4700",""
"63217","990086","","12023",""
"63234","495435","","12275",""
"63235","498585","","12275",""
"63320","534373","директор","2200",""
"63321","534896","заместитель","2200",""
"63322","536401","проходная, учительская","2200",""
"63404","42123","","7102",""
"63405","42082","","7102",""
"63426","546698","начальник","4805",""
"63432","31135","начальник","4810",""
"63445","51149","","4465",""
"63464","761679","","734",""
"63465","769336","","734",""
"63675","89289283742","","11890",""
"63811","253643","","12014",""
"63817","761579","","833",""
"63818","767837","","833",""
"63819","769450","","833",""
"63820","769410","","833",""
"63856","767958","приемная","1742",""
"63857","747176","гл.инженер","1742",""
"63858","529202","приемная","1732",""
"63859","524679","гл. инженер","1732","Гукаева  Альбина Асланбековна"
"63860","513217","секретарь","1736",""
"63861","511494","гл.инженер","1736",""
"63864","553379","","586",""
"63865","553378","","586",""
"63866","536341","","586",""
"63963","535464","","7397",""
"64053","407319","","6931",""
"64054","749336","","6931",""
"64055","407598","","6931",""
"64056","407597","","6931",""
"64061","749336","","8019",""
"64062","407317","","8019",""
"64066","402661","","9567",""
"64227","91399","регистратура","5510",""
"64228","91873","заведующий","5510",""
"64229","91874","детская консультация","5510",""
"64230","90249","психотерапевт","5510",""
"64231","91990","туб. кабинет","5510",""
"64232","91996","женская консультация","5510",""
"64264","31140","регистратура","5485",""
"64265","32485","заведующий","5485",""
"64378","777439","","2944",""
"64379","777823","","2944",""
"64498","445027","офис","11128",""
"64688","37845","начальник","5155",""
"64689","31946","заместитель","5155",""
"64692","33609","","5281",""
"64696","762801","начальник","2814",""
"64697","762851","гл. инженер","2814",""
"64698","768501","гл. бухгалтер","2814",""
"64699","762828","гл. бухгалтер","2814",""
"64793","36951","","10866",""
"64852","22516","","5834",""
"64855","24633","","5286",""
"64856","23302","","5286",""
"64906","768553","","20",""
"64938","36201","","7634",""
"64977","751120","","12053",""
"65015","540808","","12446",""
"65018","32278","прокурор, приемная","4924",""
"65019","32494","заместители","4924",""
"65020","32404","ст. помощник","4924",""
"65021","32920","помощники","4924",""
"65022","31247","приемная","4918",""
"65023","30610","прокурор","4918",""
"65024","34484","заместитель","4918",""
"65025","34481","помощники прокурора","4918",""
"65026","34482","помощники прокурора","4918",""
"65027","34483","помощники прокурора","4918",""
"65032","91380","прокурор, приемная","4921",""
"65033","91166","заместитель","4921",""
"65034","91344","заместитель","4921",""
"65035","91304","канцелярия","4921",""
"65036","92955","старший помощник","4921",""
"65037","92923","помощники","4921",""
"65038","92957","помощники","4921",""
"65039","92924","помощники","4921",""
"65045","31447","прокурор","4920",""
"65046","32614","заместитель","4920",""
"65047","31554","помощник","4920",""
"65048","32115","канцелярия","4920",""
"65054","34242","прокурор","4922",""
"65055","32563","заместитель","4922",""
"65056","32428","канцелярия","4922",""
"65057","35019","приемная","4919",""
"65058","31856","прокурор","4919",""
"65059","31865","заместитель","4919",""
"65068","24201","","1664",""
"65069","550974","","503",""
"65070","758153","","503",""
"65078","30569","начальник","6165",""
"65079","30449","радиостанция","6165",""
"65098","35182","","6016",""
"65099","36368","","6016",""
"65113","758698","директор","2271",""
"65114","750743","секретарь","2271",""
"65123","550520","директор","2233",""
"65124","252274","вахта","2233",""
"65128","30679","директор","2237",""
"65129","30782","заместитель","2237",""
"65130","30575","учительская","2237",""
"65131","31019","бухгалтерия","2237",""
"65161","524277","","10928",""
"65162","530744","","10927",""
"65190","764960","","5746",""
"65204","548758","","6387",""
"65205","547215","","6388",""
"65236","730872","","4776",""
"65240","569046","","4772",""
"65241","949418","","12317",""
"65242","748408","","12317",""
"65243","27089","","4798",""
"65248","50118","","11987",""
"65252","89188389743","","13026",""
"65253","89187054128","","13026",""
"65296","440198","","12198",""
"65297","505580","","12198",""
"65301","923737","","12056",""
"65302","924343","","12056",""
"65329","34356","зал","2624",""
"65330","37799","директор","2624",""
"65331","30632","","5399",""
"65332","567691","","597",""
"65333","550237","","4868",""
"65344","32248","директор","4972",""
"65345","32457","бухгалтерия","4972",""
"65346","403195","","12445",""
"65347","35757","","8920",""
"65348","37788","","8920",""
"65350","32990","","7645",""
"65353","47306","","6087",""
"65354","53488","","5588",""
"65355","776619","заведующая","2131",""
"65356","776530","общий","2131",""
"65406","999903","","12165",""
"65420","999903","","12166",""
"65440","530056","прямая линия","3150",""
"65477","32579","","4860",""
"65529","31557","","5239",""
"65530","51512","","5246",""
"65531","51522","","5246",""
