"_id","cat_name"
"1350","ВЫШИВКА – ИЗГОТОВЛЕНИЕ, ПРОДАЖА"
"1360","ГАЗ ПРИРОДНЫЙ – ПОСТАВКА, ПЕРЕРАБОТКА"
"1370","ГАЗЕТЫ, ЖУРНАЛЫ, СПРАВОЧНИКИ – РЕДАКЦИИ"
"1380","ГАЗЫ ТЕХНИЧЕСКИЕ И МЕДИЦИНСКИЕ – ПРОДАЖА, ПРОИЗВОДСТВО"
"1390","ГАРАЖНЫЕ КООПЕРАТИВЫ"
"1400","ГЕОЛОГИ"
"1420","ГИПСОКАРТОН – ПРОДАЖА"
"1450","ГОРОДСКОЙ ПАССАЖИРСКИЙ ТРАНСПОРТ"
"1470","ГОСТИНИЦЫ"
"1490","ДВОРЦЫ И ДОМА КУЛЬТУРЫ, КЛУБЫ"
"1510","ДЕКОРАТИВНО-ПРИКЛАДНОЕ ИСКУССТВО"
"1530","ДЕТСКАЯ ОДЕЖДА, ДЕТСКИЕ ТОВАРЫ – ПРОДАЖА"
"1540","ДЕТСКИЕ ДОМА, ПРИЕМНИКИ И ПРИЮТЫ"
"1550","ДЕТСКИЕ И МОЛОДЕЖНЫЕ ОРГАНИЗАЦИИ"
"1560","ДЕТСКИЕ САДЫ, ЯСЛИ"
"1570","ДЕТСКИЕ ТОВАРЫ – ИГРУШКИ, ИГРЫ"
"1590","ДЕТСКОЕ ПИТАНИЕ – ПРОДАЖА"
"1600","ДИЗАЙН ИНТЕРЬЕРА"
"1610","ДИСПАНСЕРЫ"
"1620","ДОМА И ПАНСИОНАТЫ ДЛЯ ВЕТЕРАНОВ, ИНВАЛИДОВ И ПРЕСТАРЕЛЫХ"
"1630","ДОРОЖНО-СТРОИТЕЛЬНЫЕ РАБОТЫ"
"1650","ДОРОЖНЫЕ ЗНАКИ – ИЗГОТОВЛЕНИЕ"
"1660","ДОШКОЛЬНОЕ ОБУЧЕНИЕ ДОПОЛНИТЕЛЬНОЕ"
"1670","ЖАЛЮЗИ И РОЛЬСТАВНИ – ПРОДАЖА, УСТАНОВКА, РЕМОНТ"
"1680","ЖЕЛЕЗОБЕТОННЫЕ ИЗДЕЛИЯ И КОНСТРУКЦИИ – ПРОИЗВОДСТВО"
"1690","ЖЕНСКИЕ КОНСУЛЬТАЦИИ"
"1700","ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"
"1720","ЗАГСЫ, ДВОРЦЫ БРАКОСОЧЕТАНИЯ, БРАЧНЫЕ АГЕНТСТВА"
"1730","ЗАМКИ, ЗАПОРНЫЕ УСТРОЙСТВА – ПРОДАЖА, УСТАНОВКА, РЕМОНТ"
"1740","ЗАНАВЕСИ, ШТОРЫ, КАРНИЗЫ – ПОШИВ, ПРОДАЖА"
"1750","ЗАПОВЕДНИКИ, ЗАКАЗНИКИ"
"1760","ЗЕМЛЕУСТРОИТЕЛИ"
"1770","ЗЕРКАЛА – ИЗГОТОВЛЕНИЕ, РЕМОНТ, ПРОДАЖА"
"1780","ЗООЛОГИЧЕСКИЕ ТОВАРЫ И УСЛУГИ"
"1790","ИЗДАТЕЛЬСТВА"
"1800","ИНЖИНИРИНГ – УСЛУГИ"
"1820","ИНОСТРАННЫЕ ЯЗЫКИ – ПЕРЕВОДЫ"
"1840","ИНСТИТУТЫ – НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЕ, ПРОЕКТНЫЕ"
"1860","ИНСТРУМЕНТЫ – ПРОДАЖА, РЕМОНТ"
"1870","ИНСТРУМЕНТЫ – ПРОИЗВОДСТВО"
"1880","ИНТЕРНЕТ – ВЕБ-ДИЗАЙН"
"1900","ИНТЕРНЕТ – УСЛУГИ ДОСТУПА"
"1910","ИНТИМНЫЕ ТОВАРЫ – ПРОДАЖА"
"1920","ИНФОРМАЦИОННЫЕ АГЕНТСТВА, СЛУЖБЫ, ЦЕНТРЫ"
"1930","КАМЕНЬ НАТУРАЛЬНЫЙ – ОБРАБОТКА, ПРОИЗВОДСТВО ИЗДЕЛИЙ"
"1950","КАНЦЕЛЯРСКИЕ ТОВАРЫ – ПРОДАЖА "
"1960","КАРТОГРАФИЯ И ГЕОДЕЗИЯ"
"1980","КАССОВЫЕ АППАРАТЫ, ВЕСЫ – ПРОДАЖА, РАСХОДНЫЕ МАТЕРИАЛЫ, РЕМОНТ"
"2010","КИНО-, ВИДЕОСТУДИИ"
"2020","КИНОЛОГИЧЕСКИЕ ОРГАНИЗАЦИИ, ФЕЛИНОЛОГИ"
"2030","КИНОТЕАТРЫ И КИНОКОНЦЕРТНЫЕ ЗАЛЫ, DVD-ЗАЛЫ"
"2040","КИРПИЧ – ПРОИЗВОДСТВО, ПРОДАЖА"
"2050","КЛУБЫ НОЧНЫЕ, ДИСКОТЕКИ"
"2070","КНИГИ – ПРОДАЖА "
"2080","КОВРЫ, ПАЛАСЫ, КОВРОВЫЕ ПОКРЫТИЯ – ПРОДАЖА "
"2090","КОЖАНЫЕ ИЗДЕЛИЯ – ПРОДАЖА "
"2100","КОЛБАСНЫЕ ИЗДЕЛИЯ – ПРОДАЖА, ПРОИЗВОДСТВО"
"2120","КОЛХОЗЫ, СОВХОЗЫ, КРЕСТЬЯНСКО-ФЕРМЕРСКИЕ ХОЗЯЙСТВА"
"2130","КОМПЬЮТЕРНЫЕ КЛУБЫ"
"2160","КОМПЬЮТЕРЫ – ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ"
"2180","КОМПЬЮТЕРЫ, ОРГТЕХНИКА – ПРОДАЖА, РЕМОНТ, СЕРВИС"
"2200","КОНДИТЕРСКИЕ ИЗДЕЛИЯ – ПРОИЗВОДСТВО, ПРОДАЖА "
"2210","КОНДИЦИОНЕРЫ – ПРОДАЖА, УСТАНОВКА, РЕМОНТ"
"2280","КОСМЕТИКА И ПАРФЮМЕРИЯ – ПРОДАЖА"
"2320","КРАСКИ, ЛАКИ – ПРОДАЖА "
"2330","КРОВЕЛЬНЫЕ МАТЕРИАЛЫ – ПРОДАЖА"
"2350","КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКАЯ ДЕЯТЕЛЬНОСТЬ"
"2360","КУРСЫ – ОБУЧЕНИЯ И ПЕРЕПОДГОТОВКИ"
"2370","КУРЬЕРСКИЕ СЛУЖБЫ, УСЛУГИ"
"2390","ЛАНДШАФТНОЕ ПРОЕКТИРОВАНИЕ, ФИТОДИЗАЙН"
"2400","ЛЕКСАН – ПРОДАЖА"
"2420","ЛЕСОПИЛОМАТЕРИАЛЫ – ПРОДАЖА, ПРОИЗВОДСТВО"
"2430","ЛЕСТНИЦЫ – ИЗГОТОВЛЕНИЕ"
"2450","ЛИНЗЫ КОНТАКТНЫЕ "
"2460","ЛИФТЫ – ТЕХНИЧЕСКОЕ ОБСЛУЖИВАНИЕ "
"2480","ЛИЦЕНЗИРОВАНИЕ И СЕРТИФИКАЦИЯ ТОВАРОВ И УСЛУГ"
"2485","ЛОКАЛЬНЫЕ ВЫЧИСЛИТЕЛЬНЫЕ СЕТИ "
"2490","ЛОМБАРДЫ"
"2540","МЕБЕЛЬ – ИЗГОТОВЛЕНИЕ И РЕМОНТ"
"2550","МЕБЕЛЬ ДЛЯ ДОМА – ПРОДАЖА "
"2560","МЕБЕЛЬ ДЛЯ ОФИСОВ И ПРЕДПРИЯТИЙ – ПРОДАЖА"
"2570","МЕБЕЛЬНАЯ ФУРНИТУРА – ПРОДАЖА"
"2580","МЕД – ПРОДАЖА"
"2600","МЕДИЦИНА – ДИАГНОСТИКА, КОНСУЛЬТАЦИИ, ОБСЛЕДОВАНИЕ "
"2610","МЕДИЦИНА – КОСМЕТОЛОГИЯ И ПЛАСТИЧЕСКАЯ ХИРУРГИЯ"
"2620","МЕДИЦИНА – ЛАБОРАТОРИИ"
"2640","МЕДИЦИНА – НЕМЕДИКАМЕНТОЗНЫЕ МЕТОДЫ ЛЕЧЕНИЯ"
"2650","МЕДИЦИНА – ОБЪЕДИНЕНИЯ, ЦЕНТРЫ"
"2660","МЕДИЦИНА – СУДЕБНАЯ ЭКСПЕРТИЗА"
"2670","МЕДИЦИНСКИЕ КОМИССИИ ДЛЯ ВОДИТЕЛЕЙ"
"2680","МЕДИЦИНСКИЕ ПРИБОРЫ, ИНСТРУМЕНТЫ – ПРОДАЖА"
"2710","МЕТАЛЛОИЗДЕЛИЯ, МЕТАЛЛОКОНСТРУКЦИИ – ИЗГОТОВЛЕНИЕ, ПРОДАЖА"
"2730","МЕТАЛЛОПРОКАТ – ПРОДАЖА"
"2740","МЕТЕОРОЛОГИЯ"
"2750","МЕТРОЛОГИЯ"
"2760","МЕХА И МЕХОВЫЕ ИЗДЕЛИЯ – ПРОДАЖА "
"2770","МОРОЖЕНОЕ – ПРОИЗВОДСТВО, ПРОДАЖА"
"2780","МУЗЕИ"
"2790","МУЗЫКАЛЬНЫЕ ИНСТРУМЕНТЫ – ПРОИЗВОДСТВО, ПРОДАЖА, РЕМОНТ"
"2820","НАСОСЫ, НАСОСНОЕ ОБОРУДОВАНИЕ – ПРОДАЖА, УСТАНОВКА"
"2830","НЕДВИЖИМОСТЬ – ОЦЕНКА"
"2840","НЕДВИЖИМОСТЬ – ПОКУПКА, ПРОДАЖА, АРЕНДА"
"2850","НЕФТЕПРОДУКТЫ – ПЕРЕРАБОТКА, ПРОИЗВОДСТВО"
"2860","НОТАРИУСЫ"
"2870","ОБОИ – ПРОДАЖА "
"2880","ОБОРУДОВАНИЕ ЗВУКОВОЕ И ОСВЕТИТЕЛЬНОЕ"
"2885","ОБРАЗОВАНИЕ СРЕДНЕЕ, ПРОФЕССИОНАЛЬНОЕ"
"2890","ОБУВЬ – ПОШИВ, РЕМОНТ, ОКРАСКА"
"2900","ОБУВЬ – ПРОДАЖА "
"2910","ОБУВЬ – ПРОТЕЗНО-ОРТОПЕДИЧЕСКАЯ – ИЗГОТОВЛЕНИЕ, РЕМОНТ "
"2920","ОБУЧЕНИЕ ЗА РУБЕЖОМ "
"2930","ОБЩЕЖИТИЯ"
"2940","ОБЩЕСТВЕННЫЕ ОРГАНИЗАЦИИ  И АССОЦИАЦИИ"
"2960","ОДЕЖДА SECOND HAND"
"2970","ОДЕЖДА ЖЕНСКАЯ – ПРОДАЖА"
"2980","ОДЕЖДА МУЖСКАЯ – ПРОДАЖА"
"2990","ОЗЕЛЕНЕНИЕ И БЛАГОУСТРОЙСТВО"
"3000","ОКНА И ДВЕРИ ИЗ АЛЮМИНИЯ"
"3010","ОКНА И ДВЕРИ ИЗ ДЕРЕВА"
"3020","ОКНА И ДВЕРИ ИЗ МЕТАЛЛОПЛАСТИКА"
"3030","ОПЕРАТИВНАЯ ПОЛИГРАФИЯ"
"3040","ОТДЕЛОЧНО-СТРОИТЕЛЬНЫЕ И РЕМОНТНЫЕ РАБОТЫ"
"3050","ОТОПИТЕЛЬНОЕ ОБОРУДОВАНИЕ И СИСТЕМЫ – ПРОДАЖА, МОНТАЖ"
"3060","ОТХОДЫ И МУСОР – ВЫВОЗ И ПЕРЕРАБОТКА"
"3070","ОФОРМЛЕНИЕ СВАДЕБ, ЮБИЛЕЕВ И ДРУГИХ ТОРЖЕСТВ"
"3080","ОХОТА И РЫБОЛОВСТВО – ХОЗЯЙСТВА, ОБЩЕСТВА"
"3090","ОХОТНИЧЬИ И РЫБОЛОВНЫЕ ПРИНАДЛЕЖНОСТИ"
"3100","ОХРАННАЯ ДЕЯТЕЛЬНОСТЬ И БЕЗОПАСНОСТЬ"
"3110","ОХРАННО-ПОЖАРНЫЕ СИСТЕМЫ – ПРОДАЖА, МОНТАЖ"
"3120","ОЧКИ И ОПТИКА – ПРОДАЖА"
"3150","ПАРИКМАХЕРСКИЕ ПРИНАДЛЕЖНОСТИ"
"3160","ПАРКЕТ, ПАРКЕТНАЯ ДОСКА – ПРОДАЖА"
"3170","ПАРКИ КУЛЬТУРЫ И ОТДЫХА"
"3210","ПЕРСОНАЛЬНЫЕ МАСТЕРСКИЕ"
"3220","ПЕЧАТИ, ШТАМПЫ – ИЗГОТОВЛЕНИЕ"
"3240","ПИВО – ПРОИЗВОДСТВО, ОПТОВАЯ ПРОДАЖА"
"3280","ПОДАРКИ, СУВЕНИРЫ – ПРОДАЖА"
"3290","ПОДШИПНИКИ – ПРОДАЖА"
"3310","ПОЛИКЛИНИКИ "
"3320","ПОЛИМЕРНЫЕ МАТЕРИАЛЫ И ИЗДЕЛИЯ"
"3330","ПОЛИТИЧЕСКИЕ ПАРТИИ, ОРГАНИЗАЦИИ"
"3340","ПОСТЕЛЬНЫЕ ПРИНАДЛЕЖНОСТИ – ПРОИЗВОДСТВО, ПРОДАЖА"
"3350","ПОСУДА – ПРОДАЖА"
"3360","ПОСУДА РАЗОВАЯ – ПРОДАЖА"
"3390","ПОЧТА МЕЖДУНАРОДНАЯ "
"3395","ПОЧТОВЫЕ УСЛУГИ"
"3400","ПРАЗДНИКИ – ОРГАНИЗАЦИЯ, ОБЕСПЕЧЕНИЕ"
"3410","ПРАЧЕЧНЫЕ "
"3420","ПРОДОВОЛЬСТВЕННЫЕ МАГАЗИНЫ"
"3430","ПРОЕКТИРОВАНИЕ ПРОМЫШЛЕННЫХ И ГРАЖДАНСКИХ ОБЪЕКТОВ "
"3440","ПРОКАТНЫЕ ПУНКТЫ – ПАЛАТКИ, СТОЛЫ, ПОСУДА"
"3450","ПРОМЫШЛЕННОЕ ОБОРУДОВАНИЕ"
"3460","ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ДОБЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ"
"3470","ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ЛЕГКАЯ ПРОМЫШЛЕННОСТЬ"
"3480","ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – МАШИНОСТРОЕНИЕ, ПРИБОРОСТРОЕНИЕ"
"3490","ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – МЕТАЛЛУРГИЯ"
"3500","ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ"
"3510","ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ"
"3511","ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ"
"3512","ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО – ЭЛЕКТРОНИКА"
"3520","ПРОМЫШЛЕННОСТЬ – МАТЕРИАЛЬНО-ТЕХНИЧЕСКОЕ СНАБЖЕНИЕ"
"3530","ПРОМЫШЛЕННЫЙ АЛЬПИНИЗМ"
"3560","ПРЯЖА – ПРОДАЖА"
"3570","ПСИХОЛОГИ, ПСИХИАТРИЧЕСКАЯ ПОМОЩЬ"
"3580","ПТИЦЕВОДСТВО"
"3600","РАДИОСВЯЗЬ – СИСТЕМЫ, ОБОРУДОВАНИЕ, УСТРОЙСТВА"
"3630","РЕКЛАМА – В СЕТИ ИНТЕРНЕТ "
"3640","РЕКЛАМА – НАРУЖНАЯ РЕКЛАМА"
"3650","РЕКЛАМА – ОРГАНИЗАЦИЯ И ПРОВЕДЕНИЕ РЕКЛАМНЫХ КАМПАНИЙ"
"3651","РЕКЛАМА – ПОЛИГРАФИЯ РЕКЛАМНАЯ"
"3660","РЕКЛАМА – ПРЯМАЯ ПОЧТОВАЯ РЕКЛАМА"
"3670","РЕКЛАМА – РАЗМЕЩЕНИЕ В СПРАВОЧНИКАХ, ГАЗЕТАХ, ЖУРНАЛАХ "
"3680","РЕКЛАМА – РЕКЛАМА НА ТЕЛЕВИДЕНИИ И РАДИО"
"3700","РЕКЛАМНАЯ ДЕЯТЕЛЬНОСТЬ, РЕКЛАМНЫЕ АГЕНТСТВА"
"3710","РЕЛИГИЯ – ОРГАНИЗАЦИИ, ЦЕРКОВНЫЕ ТОВАРЫ"
"3720","РЕСТОРАНЫ, БАРЫ, КАФЕ, БАНКЕТНЫЕ ЗАЛЫ"
"3730","РИТУАЛЬНЫЕ УСЛУГИ"
"3740","РОДИЛЬНЫЕ ДОМА"
"3750","РОСПЕЧАТЬ"
"3760","РЫБА – РЫБОХОЗЯЙСТВА"
"3770","РЫНКИ, ТОРГОВЫЕ ДОМА, ТОРГОВЫЕ ЦЕНТРЫ"
"3780","САДОВОДСТВО – САДОВОДЧЕСКИЕ ТОВАРИЩЕСТВА"
"3800","САДОВОДСТВО – СЕМЕНА, РАССАДА, ИНВЕНТАРЬ"
"3810","САЛОНЫ КРАСОТЫ, ПАРИКМАХЕРСКИЕ"
"3820","САНАТОРИИ, ПРОФИЛАКТОРИИ, ДОМА И БАЗЫ ОТДЫХА"
"3830","САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКИЕ СЛУЖБЫ"
"3840","САНТЕХНИКА – ПРОДАЖА "
"3850","САНТЕХНИЧЕСКОЕ И ОТОПИТЕЛЬНОЕ ОБОРУДОВАНИЕ – МОНТАЖ"
"3860","СВАРОЧНОЕ ОБОРУДОВАНИЕ, ЭЛЕКТРОДЫ – ПРОДАЖА"
"3862","СВЯЗЬ – ТЕЛЕКОММУНИКАЦИОННЫЕ УСЛУГИ "
"3870","СЕЙФЫ – ПРОДАЖА, РЕМОНТ"
"3890","СЕЛЬХОЗТЕХНИКА, ОБОРУДОВАНИЕ, ИНВЕНТАРЬ – ПРОДАЖА"
"3900","СКЛАДСКИЕ УСЛУГИ"
"3910","СКОРАЯ МЕДИЦИНСКАЯ ПОМОЩЬ"
"3930","СОТОВАЯ СВЯЗЬ"
"3940","СОТОВАЯ СВЯЗЬ – ОПЛАТА УСЛУГ"
"3950","СОТОВЫЕ ТЕЛЕФОНЫ – ПРОДАЖА, ПОДКЛЮЧЕНИЕ"
"3960","СОТОВЫЕ ТЕЛЕФОНЫ – РЕМОНТ"
"3990","СПИД – ДИАГНОСТИКА, КОНСУЛЬТАЦИИ "
"4010","СПОРТИВНЫЕ И ТУРИСТИЧЕСКИЕ ТОВАРЫ – ПРОДАЖА"
"4020","СПОРТИВНЫЕ КОМПЛЕКСЫ, СТАДИОНЫ, ЗАЛЫ, БАССЕЙНЫ"
"4030","СПОРТИВНЫЕ ОБЩЕСТВА, КЛУБЫ, ФЕДЕРАЦИИ"
"4060","СПРАВОЧНЫЕ СЛУЖБЫ"
"4070","СПУТНИКОВАЯ НАВИГАЦИЯ И МОНИТОРИНГ"
"4080","СТАНЦИИ ПЕРЕЛИВАНИЯ КРОВИ"
"4090","СТЕКЛО – ПРОДАЖА"
"4100","СТЕКЛОИЗДЕЛИЯ, СТЕКЛОТАРА – ПРОИЗВОДСТВО "
"4120","СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ"
"4130","СТРАХОВАНИЕ, СТРАХОВЫЕ КОМПАНИИ"
"4140","СТРОИТЕЛЬНЫЕ И ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ – ПРОДАЖА"
"4150","СТРОИТЕЛЬНЫЕ И ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ – ПРОИЗВОДСТВО"
"4170","СТРОИТЕЛЬНЫЕ КОНСТРУКЦИИ – ПРОИЗВОДСТВО, ПРОДАЖА"
"4180","СТРОИТЕЛЬНЫЕ РАБОТЫ – ГИДРОИЗОЛЯЦИОННЫЕ И ГИДРОТЕХНИЧЕСКИЕ"
"4190","СТРОИТЕЛЬНЫЕ РАБОТЫ – ЗЕМЛЯНЫЕ"
"4200","СТРОИТЕЛЬНЫЕ РАБОТЫ – КРОВЕЛЬНЫЕ"
"4210","СТРОИТЕЛЬНЫЕ РАБОТЫ – МОНТАЖНЫЕ"
"4220","СТРОИТЕЛЬНЫЕ, СТРОИТЕЛЬНО-МОНТАЖНЫЕ ОРГАНИЗАЦИИ "
"4230","СУПЕРМАРКЕТЫ, УНИВЕРСАМЫ, УНИВЕРМАГИ"
"4240","ТАБАЧНЫЕ ИЗДЕЛИЯ – ПРОДАЖА "
"4250","ТАКСИ ЛЕГКОВЫЕ "
"4260","ТАНЦЕВАЛЬНЫЕ И МУЗЫКАЛЬНЫЕ АНСАМБЛИ, ОРКЕСТРЫ"
"4280","ТЕАТРЫ"
"4290","ТЕЛЕВИДЕНИЕ И РАДИОВЕЩАНИЕ"
"4300","ТЕЛЕФОН – ТЕЛЕФОННАЯ СЕТЬ"
"4310","ТЕЛЕФОН, ТЕЛЕГРАФ – МЕЖДУГОРОДНЫЙ, МЕЖДУНАРОДНЫЙ"
"4330","ТЕПЛОСЕТЬ – ТЕПЛОСНАБЖЕНИЕ "
"4340","ТИПОГРАФИИ"
"4360","ТКАНИ И ШВЕЙНАЯ ФУРНИТУРА – ПРОДАЖА "
"4380","ТОВАРЫ ДЛЯ БУДУЩИХ МАТЕРЕЙ"
"4390","ТОПЛИВО – ОПТОВАЯ ПРОДАЖА"
"4400","ТОРГОВОЕ ОБОРУДОВАНИЕ  – ПРОИЗВОДСТВО, ПРОДАЖА, СЕРВИС"
"4430","ТОРГОВЫЕ ОРГАНИЗАЦИИ – ОПТОВЫЕ ФИРМЫ"
"4440","ТОРГОВЫЕ ОРГАНИЗАЦИИ – ПОТРЕБСОЮЗЫ"
"4450","ТРАВМАТОЛОГИЧЕСКИЕ ПУНКТЫ"
"4470","ТРОТУАРНАЯ ПЛИТКА – ПРОИЗВОДСТВО, ПРОДАЖА"
"4480","ТРУБОПРОВОДЫ – СТРОИТЕЛЬСТВО, МОНТАЖ, РЕМОНТ"
"4490","ТРУБЫ И ТРУБОПРОВОДНАЯ АРМАТУРА – ПРОДАЖА"
"4500","ТРУДОУСТРОЙСТВО"
"4520","ТУРИСТИЧЕСКИЕ ФИРМЫ И ЭКСКУРСИОННЫЕ БЮРО"
"4530","УБОРКА ПОМЕЩЕНИЙ"
"4540","УПАКОВКА, ТАРА – ПРОДАЖА, УСЛУГИ"
"4550","УПАКОВКА, ТАРА – ПРОИЗВОДСТВО"
"4560","УСЛУГИ – БИЗНЕС ДЛЯ БИЗНЕСА"
"4590","ФИТНЕС-КЛУБЫ"
"4610","ФОТОЛАБОРАТОРИИ, ФОТОУСЛУГИ, ФОТОАТЕЛЬЕ"
"4620","ХИМИЧЕСКАЯ ЧИСТКА И ОКРАШИВАНИЕ"
"4630","ХЛЕБОПРОДУКТЫ – ПРОИЗВОДСТВО "
"4640","ХОЗТОВАРЫ – ПРОДАЖА"
"4650","ХОРЫ"
