"_id","org_name","org_http","org_email","org_cache_mode","org_parent_id","org_cache_address","org_address_index","org_address_region","org_address_district","org_address_city","org_address_street","org_address_building","org_address_corp","org_address_street2","org_address_building2","org_address_corp2","org_address_other","org_address_x","org_address_y","org_small_name"
"36","ВТОРОЙ ДОМ","","dom2@osetia.ru","09 - 17 вых.: вс. ","0","г. Владикавказ, ул. Черноморская 2 ","362013","1","0","1","71","2","","0","","","","43.072047","44.668976","второй дом"
"37","MINI MAN магазин","","","10 - 19 ","0","г. Владикавказ, ул. Ленина 62 ","362027","1","0","1","295","62","","0","","","","43.033545","44.682086","mini man магазин"
"41","ВИВА","","","пн. - сб. 11 - 19 вс. 12 - 18 ","0","г. Владикавказ, ул. Джанаева 33 ","362040","1","0","1","183","33","","0","","","","43.033235","44.682809","вива"
"45","ДЕНТА СЕРВИС стоматологическая поликлиника","","","пн. - пт. 09 - 19 сб. 09 - 14 вых.: вс. ","0","г. Владикавказ, ул. Владикавказская 38 ","362045","1","0","1","7","38","","0","","","","43.050929","44.629717","дента сервис стоматологическая поликлиника"
"46","СДЮСШ СПОРТИВНЫХ ЕДИНОБОРСТВ","","","09 - 18 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, пр-т. Коста 38 ","362015","1","0","1","15","38","","0","","","","43.009878","44.676559","сдюсш спортивных единоборств"
"48","СОЮЗ ДЕТСКИХ И ПОДРОСТКОВЫХ ОРГАНИЗАЦИЙ РСО-А","","","09 - 19 пер.: 13 - 14 вых.: вс. ","0","г. Владикавказ, ул. Ватутина 53 а ","362025","1","0","1","199","53 а","","0","","","","43.032845","44.690255","союз детских и подростковых организаций рсо-а"
"55","VTV магазин","","","пн. - пт. 11 - 19 сб. 11 - 18 вых.: вс. ","0","г. Владикавказ, пр-т. Мира 8 ","362040","1","0","1","180","8","","0","","","","43.027845","44.68122","vtv магазин"
"56","НОВОСТЬ прачечная","","","пн. - сб. 07 - 19 вс. 08 - 14 ","0","г. Владикавказ, ул. Леонова 1 ","362031","1","0","1","30","1","","0","","","","43.05267","44.655046","новость прачечная"
"58","+36,6 сеть аптек","","irfarm366@inbox.ru","10 - 20 вых.: сб. вс. ","0","г. Владикавказ, ул. Маркуса 50 ","362027","1","0","1","3","50","","0","","","","43.039241","44.682377","+36,6 сеть аптек"
"61","НОСТАЛЬДЖИ ресторан","","","09 - 00 ","0","Дигорский р-н, г. Дигора, ул. В.Акоева 71 ","","1","7","36","346","71","","0","","","","0.0","0.0","ностальджи ресторан"
"62","ЗАРЯ","","","08 - 19 вых.: сб. вс. ","0","г. Владикавказ, ул. Тамаева 35 ","","1","0","1","170","35","","0","","","","43.0336","44.68455","заря"
"63","НОВЫЙ СТИЛЬ парикмахерский салон","","","09 - 19 ","0","г. Владикавказ, пр-т. Коста 79/20 ","362008","1","0","1","15","79/20","","0","","","","43.017939","44.674821","новый стиль парикмахерский салон"
"67","ИРЫ ХЪАУ кафе","","","10 - 22 ","0","г. Владикавказ, ул. Тельмана 3 ","362021","1","0","1","67","3","","0","","","","43.049227","44.670822","иры хъау кафе"
"69","JOY магазин","","","10 - 19 ","0","г. Владикавказ, ул. Ватутина 50 а ","362025","1","0","1","199","50 а","","0","","","","43.028043","44.690963","joy магазин"
"72","БАРМАЛЕЙ","","","10 - 20 ","0","г. Владикавказ, пр-т. Коста 276 ","362031","1","0","1","15","276","","0","","","","43.050011","44.655506","бармалей"
"74","РУССКОЕ РАДИО радиостанция","","","пн. - пт. 09 - 18 пер.: 13 - 14 сб. 10 - 15 вых.: вс. ","0","г. Владикавказ, ул. Тхапсаева 4 11 этаж","362040","1","0","1","189","4","","0","","","11 этаж","43.028315","44.677602","русское радио радиостанция"
"76","ПРОДУКТЫ","","","08 - 20 ","0","г. Владикавказ, ул. Рамонова 20 ","362027","1","0","1","200","20","","0","","","","43.035421","44.686715","продукты"
"77","АРГУН магазин","","","09:00 - 19:30 ","0","Ардонский р-н, г. Ардон, ул. Пролетарская 88 ","","1","6","21","430","88","","0","","","","0.0","0.0","аргун магазин"
"79","ЖАСМИН магазин","","","09 - 23 ","0","г. Владикавказ, ул. Куйбышева 41 ","362025","1","0","1","192","41","","0","","","","43.032204","44.692897","жасмин магазин"
"85","СОВЕТ ВЕТЕРАНОВ ВОЙНЫ И ТРУДА ИРИСТОНСКОГО ОКРУГА","","","09 - 13 вых.: сб. вс. ","0","г. Владикавказ, ул. М.Горького 31 ","362040","1","0","1","196","31","","0","","","","43.028949","44.68462","совет ветеранов войны и труда иристонского округа"
"92","БУЛГАКОВ кафе","","","11 - 23 ","0","г. Владикавказ, ул. Маяковского 9 ","362040","1","0","1","184","9","","0","","","","43.032977","44.678025","булгаков кафе"
"93","АВТОТОВАРЫ","","","09 - 18 вых.: вс. ","0","г. Владикавказ, ул. Московская 37 ","362035","1","0","1","13","37","","0","","","","43.052132","44.640973","автотовары"
"94","ВЛАДЦВЕТМЕТЭНЕРГО","","","08 - 17 пер.: 12 - 13 вых.: сб. вс. ","0","г. Владикавказ, ул. Дивизионная 1 ","362027","1","0","1","599","1","","0","","","","0.0","0.0","владцветметэнерго"
"95","ДЮЙМОВОЧКА магазин","","","10 - 19 ","0","г. Владикавказ, ул. Ленина 63 ","362040","1","0","1","295","63","","0","","","","43.033456","44.681705","дюймовочка магазин"
"96","ЭНЕРГОГАРАНТ страховая акционерная компания","www.energogarant.ru","","09 - 18 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, пр-т. Мира 46 ","362035","1","0","1","180","46","","0","","","","43.03334","44.68035","энергогарант страховая акционерная компания"
"97","СОЮЗТЕЛЕФОНСТРОЙ","","","08 - 17 пер.: 12 - 13 вых.: сб. вс. ","0","г. Владикавказ, ул. Корнеева 4 ","362013","1","0","1","48","4","","0","","","","43.060847","44.67716","союзтелефонстрой"
"98","КРИСТИ салон красоты","","","10 - 19 ","0","г. Владикавказ, ул. Московская 39 ","362035","1","0","1","13","39","","0","","","","43.050897","44.640996","кристи салон красоты"
"106","МАДИНА","","","08 - 23 ","0","г. Владикавказ, ул. К.Кесаева 12 ","362020","1","0","1","23","12","","0","","","","43.034117","44.66699","мадина"
"109","КОНКУРЕНТ учебный центр","","","09 - 18 пер.: 13 - 14 вых.: сб. вс. ","540","г. Владикавказ, ул. Маркуса 6 ","362027","1","0","1","3","6","","0","","","","43.031734","44.684317","конкурент учебный центр"
"114","СТРОИТЕЛЬ ЛТД","","","09 - 18 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, пл. Свободы 5 ","362040","1","0","1","177","5","","0","","","","43.024743","44.680514","строитель лтд"
"115","ВСЕ ДЛЯ СПОРТА магазин","","","10 - 19 ","0","г. Владикавказ, ул. М.Горького 15 /пр-т. Мира 10 ","362040","1","0","1","196","15","","180","10","","","43.028402","44.68124","все для спорта магазин"
"118","САБЕТИ адвокатская группа","","","09 - 18 вых.: сб. вс. ","1589","г. Владикавказ, ул. Димитрова 2 каб.№208","362040","1","0","1","212","2","","0","","","каб.№208","43.02365","44.683277","сабети адвокатская группа"
"124","РОРО","www.roro.ru","","пн. - пт. 09 - 18 сб. 08 - 14 вых.: вс. ","0","г. Владикавказ, пер. Холодный 2 ","362013","1","0","1","314","2","","0","","","","0.0","0.0","роро"
"127","ИРКОМ","","","08 - 17 пер.: 12:30 - 13:30 вых.: вс. ","0","г. Владикавказ, ш. Архонское 1 ","","1","0","1","304","1","","0","","","","43.058309","44.643274","ирком"
"130","СПЛАВ","","","09 - 17 пер.: 12:30 - 13:30 вых.: сб. вс. ","0","г. Владикавказ, ул. Грозненская 2 а ","362002","1","0","1","298","2 а","","0","","","","0.0","0.0","сплав"
"131","НОТАРИАЛЬНАЯ КОНТОРА","","","09 - 17 вых.: сб. вс. ","0","г. Владикавказ, ул. Пожарского 4 /ул. Иристонская 13 ","362021","1","0","1","62","4","","46","13","","","43.058225","44.664585","нотариальная контора"
"135","WELONDA студия","","","10 - 19 ","0","г. Владикавказ, ул. Ленина 60 ","362040","1","0","1","295","60","","0","","","","43.03315","44.682166","welonda студия"
"136","ВИНА АНАПЫ","","","09 - 19 ","0","г. Владикавказ, ул. Маркова 91 ","362002","1","0","1","165","91","","0","","","","43.045592","44.678881","вина анапы"
"139","AMNESIA магазин","","","10 - 20 ","0","г. Владикавказ, ул. Маркуса 41 ","362027","1","0","1","3","41","","0","","","","43.035483","44.682868","amnesia магазин"
"140","ДУГ","","","09 - 22 ","0","г. Владикавказ, пр-т. Коста 283 б ","362035","1","0","1","15","283 б","","0","","","","43.056358","44.643929","дуг"
"144","ХОЗТОВАРЫ, магазин №86","","","09 - 18 ","0","г. Владикавказ, ул. Тельмана 14 а ","362021","1","0","1","67","14 а","","0","","","","43.051405","44.671655","хозтовары, магазин №86"
"145","МАСТЕРСКАЯ №24","","","09 - 18 вых.: вс. ","0","г. Владикавказ, пр-т. Коста 270 ","362031","1","0","1","15","270","","0","","","","43.048202","44.656595","мастерская №24"
"150","РЕНОМЕ фирма","","","10 - 18 вых.: сб. вс. ","0","г. Владикавказ, пр-т. Ген.Доватора 8 ","362008","1","0","1","4","8","","0","","","","43.017342","44.661126","реноме фирма"
"151","ГУРИАТИ","www.guriaty.com","info@guriaty.com","09 - 18 ","0","г. Владикавказ, ул. Ботоева 12 ","362040","1","0","1","201","12","","0","","","","43.027353","44.685524","гуриати"
"152","ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ","","","09 - 18 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, пр-т. Коста 298 ","362031","1","0","1","15","298","","0","","","","43.056724","44.644918","центр социального обслуживания"
"154","ПРЕСТИЖ ПЛЮС учебный центр","","","09 - 16 ","0","г. Владикавказ, ул. Ростовская 60 ","362027","1","0","1","169","60","","0","","","","43.039922","44.683274","престиж плюс учебный центр"
"155","ЮЖАНКА","","","пн. 08 - 17 вт. - пт. 08 - 16 вых.: сб. вс. ","0","г. Владикавказ, ул. Пожарского 38 а ","362013","1","0","1","62","38 а","","0","","","","0.0","0.0","южанка"
"160","ВОЯЖ такси","","","","0","г. Владикавказ, ","362007","1","0","1","0","","","0","","","","0.0","0.0","вояж такси"
"161","АССОЛЬ магазин","","","10 - 19 ","0","г. Владикавказ, ул. Куйбышева 38 ","362025","1","0","1","192","38","","0","","","","43.031495","44.687798","ассоль магазин"
"163","МАГНИТ магазин","","","10 - 21 ","0","г. Владикавказ, ул. Иристонская 44  а ","362042","1","0","1","46","44  а","","0","","","","43.070352","44.661411","магнит магазин"
"164","АВТОБАЗА МИНЗДРАВА РСО-А","","","08 - 17 пер.: 12 - 13 вых.: сб. вс. ","0","г. Владикавказ, ул. Пушкинская 53 ","362025","1","0","1","260","53","","0","","","","43.038409","44.697098","автобаза минздрава рсо-а"
"166","ЦЕНТРАЛЬНОЕ ОПЫТНО-КОНСТРУКТОРСКОЕ БЮРО ГГАУ","","","08 - 17 ","0","г. Владикавказ, ш. Карцинское 14 ","362027","1","0","1","231","14","","0","","","","0.0","0.0","центральное опытно-конструкторское бюро ггау"
"167","ИНФОЦЕНТР","","","09 - 18 пер.: 13 - 14 вых.: сб. вс. ","548","г. Владикавказ, ул. Армянская 30/1 ","362000","1","0","1","209","30/1","","0","","","","43.022447","44.685904","инфоцентр"
"170","ЮНОСТЬ","","","08 - 21 ","0","г. Владикавказ, пр-т. Коста 270 ","362031","1","0","1","15","270","","0","","","","43.048152","44.656653","юность"
"171","УЛЫБКА стоматологический центр","","","09 - 17 вых.: вс. ","0","г. Владикавказ, ул. Калинина 2 а ","362035","1","0","1","10","2 а","","0","","","","43.044441","44.658119","улыбка стоматологический центр"
"173","МИР межгосударственная телерадиокомпания","","kavkazmir@mail.ru","09 - 18 вых.: сб. вс. ","0","г. Владикавказ, ул. Койбаева 83 ","362007","1","0","1","216","83","","0","","","","43.014573","44.68934","мир межгосударственная телерадиокомпания"
"179","ИР телерадиокомпания","","tv-ir@yandex.ru","09 - 18 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, ул. Осетинская Горка 2 а ","362007","1","0","1","537","2 а","","0","","","","43.015789","44.686487","ир телерадиокомпания"
"183","ПОДАРКИ магазин","","","10 - 19 ","0","г. Владикавказ, ул. Ленина 60 ","362040","1","0","1","295","60","","0","","","","43.033126","44.682168","подарки магазин"
"185","ПРОДУКТЫ + магазин","","","08 - 21 ","0","г. Владикавказ, ул. В.Абаева 15 ","362007","1","0","1","132","15","","0","","","","43.014357","44.684748","продукты + магазин"
"187","НИКА аптека","","","09 - 23 ","0","г. Владикавказ, ул. Бутырина 27 ","362025","1","0","1","202","27","","0","","","","43.027565","44.688551","ника аптека"
"188","ЛИГА ЧЕМПИОНОВ (ДЕЛОВОЙ МИР)","","","10 - 19 ","0","г. Владикавказ, ул. Ленина 19 /ул. М.Горького 16 ","362000","1","0","1","295","19","","196","16","","","43.02749","44.682664","лига чемпионов (деловой мир)"
"190","ЛА-ЛЕ театр-студия миниатюр","","","11 - 18 вых.: пн. ","0","г. Владикавказ, ул. Ленина 41 ","","1","0","1","295","41","","0","","","","43.031231","44.682012","ла-ле театр-студия миниатюр"
"194","БЕЛЫЙ ПОПУГАЙ кафе","","","11 - 00 ","0","г. Владикавказ, ул. Августовских событий 31 ","362002","1","0","1","154","31","","0","","","","43.03837","44.674712","белый попугай кафе"
"196","СЕРВИСНЫЙ УЧАСТОК №9","","","пн. - пт. 08 - 20 пер.: 13 - 14 сб. вс. 08 - 19 ","0","г. Владикавказ, ул. А.Кесаева 10 ","362045","1","0","1","5","10","","0","","","","43.049815","44.634772","сервисный участок №9"
"197","ФЕНИКС республиканский центр реабилитации детей-инвалидов","","","09:00 - 17:30 вых.: сб. вс. ","0","г. Владикавказ, ул. Гадиева 58 а ","362048","1","0","1","118","58 а","","0","","","","43.013068","44.661198","феникс республиканский центр реабилитации детей-инвалидов"
"198","ФАНДЫР","","fandyr@mail.ru","09 - 18 вых.: сб. вс. ","0","г. Владикавказ, пр-т. Ген.Доватора 8 ","362048","1","0","1","4","8","","0","","","","43.017352","44.661134","фандыр"
"199","МЕМОРИАЛ","","","08 - 17 ","0","г. Владикавказ, ул. Ватутина 100 ","362025","1","0","1","199","100","","0","","","","43.035957","44.693546","мемориал"
"200","БАЛТИКА","","","09 - 18 вых.: вс. ","0","г. Владикавказ, ул. Неизвестного Солдата 17 ","362002","1","0","1","323","17","","0","","","","43.047192","44.699427","балтика"
"202","NIGHT ресторан","","","12 - 23 ","0","г. Владикавказ, ул. Титова 18 ","362002","1","0","1","171","18","","0","","","","43.038981","44.674972","night ресторан"
"203","ВЕРШИНА ДРСУ офис","","","10 - 18 вых.: сб. вс. ","0","г. Владикавказ, ул. Мичурина 69 ","362003","1","0","1","55","69","","0","","","","43.067058","44.674066","вершина дрсу офис"
"207","АУДИТ ЭКСПЕРТ","","finexpert@mail.ru","10 - 17 вых.: сб. вс. ","0","г. Владикавказ, ул. Димитрова 2 2 этаж, офис №209 н","362040","1","0","1","212","2","","0","","","2 этаж, офис №209 н","43.023683","44.68326","аудит эксперт"
"210","ХЭЛС филиал","","","круглосуточно","0","г. Владикавказ, пр-т. Коста 206 ","362031","1","0","1","15","206","","0","","","","43.037015","44.663752","хэлс филиал"
"214","ПАТИ БУМ","","zarinak@list.ru","09 - 21 ","0","г. Владикавказ, ул. Ген.Плиева 17 ЦУМ, цокольный этаж","362008","1","0","1","119","17","","0","","","ЦУМ, цокольный этаж","43.019267","44.677214","пати бум"
"215","ТЕХНОПОЛИС","","","08 - 18 ","0","Пригородный р-н, с. Гизель, ул. Набережная 25 ","","1","1","45","873","25","","0","","","","0.0","0.0","технополис"
"216","ПАРИТЕТ-В","","paritet-v@yandex.ru","пн. - пт. 09 - 17 сб. 09 - 16 вых.: вс. ","0","г. Владикавказ, ул. Николаева 4 ","362021","1","0","1","59","4","","0","","","","43.049827","44.667881","паритет-в"
"218","ЛИНОЛЕУМ магазин","","","10 - 17 ","0","г. Владикавказ, ул. Владикавказская 28 р-к =Алан=","","1","0","1","7","28","","0","","","р-к =Алан=","43.049238","44.632072","линолеум магазин"
"220","ДОМИК ПРЯЖИ салон-магазин","","","10 - 18 вых.: вс. ","0","г. Владикавказ, ул. Куйбышева 58/60 ","","1","0","1","192","58/60","","0","","","","43.031756","44.691585","домик пряжи салон-магазин"
"222","ИОСИФ АЗС","","","круглосуточно","0","г. Владикавказ, ул. Пожарского 38 а ","362013","1","0","1","62","38 а","","0","","","","0.0","0.0","иосиф азс"
"224","ДОМ ВЕТЕРАНОВ РЕСПУБЛИКАНСКИЙ","","","09 - 13 вых.: сб. вс. ","0","г. Владикавказ, ул. М.Горького 13 ","362040","1","0","1","196","13","","0","","","","43.028174","44.680121","дом ветеранов республиканский"
"228","ВЕНУС аптека","","","круглосуточно","0","г. Владикавказ, ул. А.Кесаева 2 2 ","362045","1","0","1","5","2","2","0","","","","43.052165","44.638433","венус аптека"
"229","НИКА такси","","","круглосуточно","0","г. Владикавказ, ш. Архонское 1 ","","1","0","1","304","1","","0","","","","43.058305","44.643282","ника такси"
"231","ВЛАДСТЕКЛО фирма","","","пн. - пт. 09 - 17 пер.: 13:30 - 14:00 сб. 09 - 14 вых.: вс. ","0","г. Владикавказ, ул. Ватутина 63 ","362027","1","0","1","199","63","","0","","","","43.037652","44.692828","владстекло фирма"
"232","СПРАВОЧНО-ИНФОРМАЦИОННЫЙ ЦЕНТР =ФАРМАЦИЯ=","","","09 - 20 ","0","г. Владикавказ, ул. Ген.Плиева 5 ","362008","1","0","1","119","5","","0","","","","43.019878","44.678297","справочно-информационный центр =фармация="
"234","ЛЮКС магазин","","lux.vl@mail.ru","08 - 22 ","0","г. Владикавказ, ул. Леваневского 277 а ","362035","1","0","1","28","277 а","","0","","","","43.052994","44.647135","люкс магазин"
"235","СЕВОСЕТЗООВЕТСНАБ","","","09 - 16 пер.: 12 - 13 вых.: сб. вс. ","4964","Пригородный р-н, с. Михайловское, ул. К.Либкнехта 2 ","363110","1","1","32","433","2","","0","","","","0.0","0.0","севосетзооветснаб"
"236","КОМПЬЮТЕРНЫЙ МИР","","","09 - 20 ","0","г. Владикавказ, ул. Ген.Плиева 18 ","362008","1","0","1","119","18","","0","","","","43.019919","44.67607","компьютерный мир"
"245","ПРОМЖЕЛДОРТРАНС","","","09 - 18 пер.: 13:00 - 13:45 вых.: сб. вс. ","0","г. Владикавказ, ул. Заводская 1 ","","1","0","1","158","1","","0","","","","43.042663","44.683443","промжелдортранс"
"246","L-ПОЛЕ ресторан","","","11 - 00 ","0","г. Владикавказ, ш. Архонское 2 км","362035","1","0","1","304","","","0","","","2 км","0.0","0.0","l-поле ресторан"
"252","СЕВЕРО-ОСЕТИНСКАЯ ГОСУДАРСТВЕННАЯ МЕДИЦИНСКАЯ АКАДЕМИЯ  (СОГМА)","www.sogma.ru","","09 - 18 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, ул. Пушкинская 40 ","362019","1","0","1","260","40","","0","","","","43.031513","44.697349","северо-осетинская государственная медицинская академия  (согма)"
"253","EXCLUSIVE бутик","","exclusivevlad@mail.ru","11 - 19 вых.: вс. ","0","г. Владикавказ, пр-т. Мира 37 ","362040","1","0","1","180","37","","0","","","","43.031314","44.679979","exclusive бутик"
"255","РАНДЕВУ магазин","","","11 - 18 ","0","г. Владикавказ, ул. Маркуса 41 ","362027","1","0","1","3","41","","0","","","","43.035475","44.682856","рандеву магазин"
"261","ИЗДАТЕЛЬСТВО СОГУ","","","09 - 17 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, ул. Ватутина 46 ","362025","1","0","1","199","46","","0","","","","43.026428","44.691243","издательство согу"
"262","НОТАРИАЛЬНАЯ КОНТОРА","","","10 - 17 вых.: сб. вс. ","0","Дигорский р-н, г. Дигора, ул. Сталина 19 ","","1","7","36","360","19","","0","","","","0.0","0.0","нотариальная контора"
"264","СКАЗКА отель","http://www.tsey.osetia.biz","tsey_skazka@mail.ru","","0","Алагирский р-н, с. Цей, ","363225","1","5","14","0","","","0","","","","0.0","0.0","сказка отель"
"265","НИВА готовая кухня-пекарня","","","08 - 21 ","0","г. Владикавказ, ул. З.Калоева 394 ","362020","1","0","1","20","394","","0","","","","0.0","0.0","нива готовая кухня-пекарня"
"267","РУСЛАН магазин","","","08 - 23 ","0","г. Владикавказ, ул. Ген.Дзусова 24 2 ","362045","1","0","1","9","24","2","0","","","","43.050983","44.626028","руслан магазин"
"274","СТРОЙОПТТОРГ магазин","","","09 - 17 вых.: сб. вс. ","0","г. Владикавказ, ул. Тельмана 72 /ул. Черноморская ","362013","1","0","1","67","72","","71","","","","43.068269","44.675947","стройоптторг магазин"
"275","БЕЛОРУССКИЙ ТРИКОТАЖ","","","11 - 18 вых.: вс. ","0","г. Владикавказ, ул. Б.Ватаева 58 ","362003","1","0","1","97","58","","0","","","","43.032399","44.670891","белорусский трикотаж"
"276","ЖАР-ПТИЦА магазин","","","09 - 22 ","0","г. Владикавказ, ул. Ген.Дзусова 22 а ","362045","1","0","1","9","22 а","","0","","","","43.050549","44.62693","жар-птица магазин"
"279","МОЗДОКСКИЕ РЭС","","","","1780","Моздокский р-н, г. Моздок, ул. Энергетиков 1 ","363751","1","4","29","848","1","","0","","","","0.0","0.0","моздокские рэс"
"282","ПАРУС магазин","","","09 - 23 ","0","г. Владикавказ, пр-т. Ген.Доватора 254 1 ","362039","1","0","1","4","254","1","0","","","","43.045298","44.641606","парус магазин"
"288","БИГ-ПЛАСТ","","bigplast@mail.ru","09 - 18 вых.: вс. ","0","г. Владикавказ, пер. Холодный 5 ","362001","1","0","1","314","5","","0","","","","0.0","0.0","биг-пласт"
"289","ВМУС-2 Владикавказский филиал","www.vmus.ru","info@vmus.ru","08 - 17 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, пр-т. Коста 281 4 ","362035","1","0","1","15","281","4","0","","","","43.055867","44.644342","вмус-2 владикавказский филиал"
"291","ГЛОБАЛ-АЛАНИЯ","www.globalalania.ru","office@globalalania.ru","пн. - пт. 09 - 19 сб. 10 - 17 вых.: вс. ","0","г. Владикавказ, ул. Нальчикская 13 ","362040","1","0","1","110","13","","0","","","","43.02492","44.672946","глобал-алания"
"292","ГРИКОН технико-коммерческий центр","","","пн. - пт. 09 - 17 сб. 09 - 15 вых.: вс. ","0","г. Владикавказ, ш. Архонское 3 ","362035","1","0","1","304","3","","0","","","","0.0","0.0","грикон технико-коммерческий центр"
"294","БЛАГОУСТРОЙСТВО","","","08 - 17 пер.: 12 - 13 вых.: сб. вс. ","0","Ардонский р-н, г. Ардон, ул. Свободы 40 ","","1","6","21","571","40","","0","","","","0.0","0.0","благоустройство"
"296","МОЗДОК ресторан","","","08 - 16 вых.: вс. ","0","Моздокский р-н, г. Моздок, ул. Кирова 8 ","363700","1","4","29","330","8","","0","","","","0.0","0.0","моздок ресторан"
"297","ОСЕТИЯ КОМПЛЕКС ресторан, гостиница","","","","0","г. Владикавказ, пр-т. Коста 4 ","362015","1","0","1","15","4","","0","","","","0.0","0.0","осетия комплекс ресторан, гостиница"
"298","ОЧАГ ресторан","","","12 - 00 ","0","г. Владикавказ, ул. Маяковского 16 ","362040","1","0","1","184","16","","0","","","","43.032852","44.679043","очаг ресторан"
"299","АЛЬП кафе","","","09 - 23 ","0","Моздокский р-н, г. Моздок, ул. Прохладненская 5 ","363700","1","4","29","650","5","","0","","","","0.0","0.0","альп кафе"
"300","SOLO караоке-клуб","www.solo-karaoke.ru","","16 - 03 ","0","г. Владикавказ, ул. Цаголова 1 ","362040","1","0","1","219","1","","0","","","","43.023661","44.682856","solo караоке-клуб"
"307","СПРАВОЧНО-ИНФОРМАЦИОННЫЕ И СЕРВИСНЫЕ СЛУЖБЫ","","","","0","","","0","0","0","0","","","0","","","","0.0","0.0","справочно-информационные и сервисные службы"
"308","ВОЕНКОМАТЫ РАЙОНОВ РСО-А","","","08 - 17 пер.: 12 - 13 вых.: сб. вс. ","0","","","0","0","0","0","","","0","","","","0.0","0.0","военкоматы районов рсо-а"
"310","ВОЕННЫЙ КОМИССАРИАТ РСО-А (ВОЕНКОМАТ)","","","08:30 - 17:30 пер.: 13 - 14 вых.: сб. вс. ","0","г. Владикавказ, ул. Гастелло 73 а ","362003","1","0","1","101","73 а","","0","","","","43.020668","44.664474","военный комиссариат рсо-а (военкомат)"
